Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-HF-7132-01	491	402	337	94	1	28	27
TCGA-HF-7133-01	24	13	11	1	38	2	0
TCGA-HF-7134-01	85	19	13	3	111	104	20
TCGA-HF-7136-01	21	1	21	5	39	4	5
TCGA-HF-A5NB-01	477	397	333	300	0	49	0
TCGA-HJ-7597-01	421	222	116	115	0	2	0
TCGA-HU-8238-01	44	8	12	3	70	50	15
TCGA-HU-8243-01	66	3	11	12	61	3	5
TCGA-HU-8244-01	99	6	0	4	48	8	0
TCGA-HU-8245-01	17	10	11	13	18	6	2
TCGA-HU-8249-01	63	18	23	0	54	3	14
TCGA-HU-8602-01	691	503	288	238	0	25	16
TCGA-HU-8604-01	76	20	26	0	61	42	33
TCGA-HU-8608-01	20	6	18	9	43	1	8
TCGA-HU-8610-01	17	0	13	0	19	6	14
TCGA-HU-A4G2-01	21	7	0	5	18	0	12
TCGA-HU-A4G3-01	49	16	6	0	34	10	11
TCGA-HU-A4G6-01	34	13	9	0	26	6	8
TCGA-HU-A4G8-01	619	361	292	300	32	15	2
TCGA-HU-A4G9-01	333	239	124	117	0	28	10
TCGA-HU-A4GC-01	64	0	27	6	40	19	14
TCGA-HU-A4GD-01	32	6	0	9	57	3	0
TCGA-HU-A4GF-01	32	8	31	9	48	27	14
TCGA-HU-A4GH-01	2	8	28	16	25	868	12
TCGA-HU-A4GJ-01	4	2	0	0	0	0	0
TCGA-HU-A4GN-01	415	443	271	104	23	25	18
TCGA-HU-A4GP-01	67	14	35	9	102	12	24
TCGA-HU-A4GQ-01	904	606	316	162	0	42	0
TCGA-HU-A4GT-01	373	484	279	305	0	45	0
TCGA-HU-A4GU-01	27	388	1116	0	42	106	47
TCGA-HU-A4GX-01	543	393	219	152	0	0	22
TCGA-HU-A4GY-01	36	10	6	0	23	4	0
TCGA-HU-A4H0-01	73	25	5	21	77	7	8
TCGA-HU-A4H2-01	63	27	23	8	71	34	2
TCGA-HU-A4H3-01	287	384	175	84	6	35	12
TCGA-HU-A4H4-01	79	176	109	280	47	76	0
TCGA-HU-A4H5-01	27	61	15	12	186	12	15
TCGA-HU-A4H6-01	69	5	8	10	42	11	3
TCGA-HU-A4H8-01	573	358	312	0	27	18	0
TCGA-HU-A4HB-01	4	2	0	0	2	5	0
TCGA-HU-A4HD-01	38	10	14	21	111	14	18
TCGA-IN-7806-01	32	4	0	10	41	2	0
TCGA-IN-7808-01	40	8	18	0	34	15	16
TCGA-IN-8462-01	35	23	15	2	55	10	3
TCGA-IN-8663-01	46	10	17	1	78	73	3
TCGA-IN-A6RI-01	25	7	7	13	33	45	0
TCGA-IN-A6RJ-01	32	19	4	9	46	53	4
TCGA-IN-A6RL-01	0	125	25	44	198	57	115
TCGA-IN-A6RN-01	21	21	0	3	87	10	13
TCGA-IN-A6RO-01	57	33	9	0	188	27	48
TCGA-IN-A6RP-01	59	1	24	0	94	8	16
TCGA-IN-A6RR-01	46	32	7	2	69	35	6
TCGA-IN-A6RS-01	39	10	23	0	53	2	5
TCGA-IN-A7NR-01	19	8	14	0	18	47	7
TCGA-IN-A7NT-01	19	8	20	4	52	30	3
TCGA-IN-A7NU-01	30	4	8	12	34	25	4
TCGA-IN-AB1V-01	15	7	9	3	33	1	7
TCGA-IN-AB1X-01	31	27	0	0	43	24	16
TCGA-IP-7968-01	62	17	8	0	35	11	0
TCGA-KB-A6F5-01	28	5	9	4	32	2	3
TCGA-KB-A6F7-01	18	29	8	2	59	8	0
TCGA-KB-A93G-01	27	7	10	0	73	0	10
TCGA-KB-A93H-01	64	22	32	13	83	49	21
TCGA-KB-A93J-01	10	7	11	2	16	2	7
TCGA-MX-A5UG-01	16	1	11	0	19	0	9
TCGA-MX-A5UJ-01	675	375	311	121	17	32	3
TCGA-MX-A663-01	13	0	16	1	61	0	15
TCGA-MX-A666-01	22	8	4	1	79	9	18
TCGA-R5-A7O7-01	40	8	11	6	66	11	9
TCGA-R5-A7ZE-01	41	0	18	1	77	40	24
TCGA-R5-A7ZF-01	32	15	11	6	17	1	3
TCGA-R5-A7ZI-01	273	256	198	136	3	15	51
TCGA-R5-A7ZR-01	31	8	3	3	31	3	11
TCGA-R5-A804-01	35	4	1	0	39	11	3
TCGA-R5-A805-01	32	0	0	0	29	97	0
TCGA-RD-A7BS-01	22	12	3	1	24	1	8
TCGA-RD-A7BT-01	17	3	11	0	77	169	6
TCGA-RD-A7BW-01	30	2	0	13	37	1	7
TCGA-RD-A7C1-01	138	9	14	23	100	53	0
TCGA-RD-A8MV-01	14	0	19	1	25	10	16
TCGA-RD-A8MW-01	12	1	14	1	52	11	2
TCGA-RD-A8N0-01	0	0	2	0	0	0	0
TCGA-RD-A8N1-01	2	20	0	20	69	9	10
TCGA-RD-A8N2-01	0	0	1	0	1	0	0
TCGA-RD-A8N4-01	1	0	3	0	5	0	0
TCGA-RD-A8N5-01	20	0	0	1	13	3	6
TCGA-RD-A8N6-01	67	0	11	23	80	2	10
TCGA-RD-A8N9-01	58	11	8	3	46	15	16
TCGA-RD-A8NB-01	222	277	119	66	0	19	30
TCGA-SW-A7EA-01	170	217	107	97	47	40	9
TCGA-SW-A7EB-01	13	0	28	0	117	2	18
TCGA-VQ-A8DL-01	8	9	14	3	28	5	1
TCGA-VQ-A8DT-01	60	16	10	0	66	57	22
TCGA-VQ-A8DU-01	44	8	8	7	36	70	1
TCGA-VQ-A8DV-01	32	9	0	0	25	6	5
TCGA-VQ-A8DZ-01	12	18	8	3	49	10	7
TCGA-VQ-A8E0-01	21	10	4	6	59	9	14
TCGA-VQ-A8E2-01	35	17	17	5	44	29	0
TCGA-VQ-A8E3-01	216	269	123	157	6	28	0
TCGA-VQ-A8E7-01	57	7	23	0	33	11	9
TCGA-VQ-A8P2-01	1876	3622	1691	0	734	0	1012
TCGA-VQ-A8P3-01	33	0	12	13	13	289	1
TCGA-VQ-A8P5-01	46	0	47	7	80	72	10
TCGA-VQ-A8P8-01	61	0	17	0	48	4	0
TCGA-VQ-A8PB-01	374	257	129	97	0	0	32
TCGA-VQ-A8PC-01	19	22	10	9	36	56	8
TCGA-VQ-A8PD-01	44	0	19	0	25	12	4
TCGA-VQ-A8PE-01	49	7	2	4	81	9	1
TCGA-VQ-A8PF-01	36	5	11	1	40	28	14
TCGA-VQ-A8PH-01	20	16	13	30	142	19	1
TCGA-VQ-A8PJ-01	15	12	9	8	54	71	17
TCGA-VQ-A8PK-01	0	0	9	1	43	46	17
TCGA-VQ-A8PM-01	11	1	10	3	16	22	3
TCGA-VQ-A8PO-01	153	412	120	175	0	42	0
TCGA-VQ-A8PP-01	339	491	316	375	0	47	0
TCGA-VQ-A8PQ-01	6	2	0	2	6	1	0
TCGA-VQ-A8PS-01	13	3	3	3	31	1	5
TCGA-VQ-A8PT-01	329	490	363	142	76	3	30
TCGA-VQ-A8PU-01	25	21	1	11	94	1	3
TCGA-VQ-A8PX-01	77	146	152	274	0	41	0
TCGA-VQ-A8PY-01	15	28	12	0	25	16	18
TCGA-VQ-A8PZ-01	62	11	5	0	24	5	0
TCGA-VQ-A91A-01	43	17	18	9	54	10	6
TCGA-VQ-A91D-01	894	514	659	452	99	3	0
TCGA-VQ-A91E-01	195	248	127	231	14	36	9
TCGA-VQ-A91K-01	555	394	204	83	178	30	25
TCGA-VQ-A91N-01	33	6	25	1	63	15	12
TCGA-VQ-A91Q-01	25	14	3	2	81	11	1
TCGA-VQ-A91S-01	2	10	14	0	151	106	29
TCGA-VQ-A91U-01	65	7	24	2	70	6	15
TCGA-VQ-A91V-01	20	0	16	0	31	208	23
TCGA-VQ-A91W-01	16	2	2	0	21	6	2
TCGA-VQ-A91X-01	29	18	33	8	55	104	8
TCGA-VQ-A91Y-01	25	2	6	1	17	2	3
TCGA-VQ-A91Z-01	51	25	0	0	77	17	1
TCGA-VQ-A922-01	14	21	15	9	78	43	27
TCGA-VQ-A923-01	52	2	3	6	46	0	18
TCGA-VQ-A924-01	349	677	141	118	0	31	7
TCGA-VQ-A925-01	13	10	4	0	86	28	14
TCGA-VQ-A927-01	13	12	4	6	13	16	3
TCGA-VQ-A928-01	7	17	7	0	36	0	9
TCGA-VQ-A92D-01	28	33	9	9	64	4	16
TCGA-VQ-A94O-01	29	7	0	10	29	0	4
TCGA-VQ-A94P-01	17	7	0	0	10	65	1
TCGA-VQ-A94R-01	60	20	18	19	172	53	30
TCGA-VQ-A94T-01	23	2	16	3	39	0	17
TCGA-VQ-A94U-01	63	13	12	0	76	29	0
TCGA-VQ-AA64-01	4	15	21	12	219	23	15
TCGA-VQ-AA68-01	47	7	9	1	65	79	0
TCGA-VQ-AA69-01	31	4	13	2	31	0	0
TCGA-VQ-AA6A-01	41	6	2	10	31	27	5
TCGA-VQ-AA6B-01	31	2	20	2	42	3	0
TCGA-VQ-AA6D-01	0	95	479	106	130	64	36
TCGA-VQ-AA6F-01	7	0	13	4	25	0	13
TCGA-VQ-AA6G-01	62	12	11	9	35	27	10
TCGA-VQ-AA6I-01	27	3	26	0	50	10	10
TCGA-VQ-AA6J-01	36	6	18	0	46	70	0
TCGA-VQ-AA6K-01	26	12	8	3	37	1	5
TCGA-ZA-A8F6-01	13	0	4	2	33	0	6
TCGA-ZQ-A9CR-01	23	9	12	14	48	27	11
