Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-HU-8608-01	8.76E-01	1.58E+00	1.57E+00	1.19E+00
TCGA-HU-8610-01	8.36E-01	1.14E+00	8.99E-01	7.41E-01
TCGA-HU-A4G2-01	7.97E-01	1.05E+00	7.56E-01	8.35E-01
TCGA-HU-A4G3-01	1.13E+00	1.80E+00	1.43E+00	9.75E-01
TCGA-HU-A4G6-01	1.25E+00	2.28E+00	1.55E+00	1.14E+00
TCGA-HU-A4G8-01	1.25E+01	1.21E+01	1.69E+00	2.04E+00
TCGA-HU-A4G9-01	6.59E+00	6.59E+00	1.22E+00	1.12E+00
TCGA-HU-A4GC-01	1.07E+00	1.42E+00	1.36E+00	1.10E+00
TCGA-HU-A4GD-01	1.06E+00	2.68E+00	2.42E+00	1.18E+00
TCGA-HU-A4GF-01	1.09E+00	2.31E+00	2.06E+00	1.77E+00
TCGA-HU-A4GH-01	8.16E-01	1.95E+00	2.60E+01	2.70E+01
TCGA-HU-A4GJ-01	1.29E-01	1.02E-01	0.00E+00	1.01E-01
TCGA-HU-A4GN-01	7.30E+00	6.43E+00	1.72E+00	8.80E-01
TCGA-HU-A4GP-01	1.96E+00	5.32E+00	4.47E+00	2.60E+00
TCGA-HU-A4GQ-01	1.12E+01	1.05E+01	2.05E+00	1.80E+00
TCGA-HU-A4GT-01	1.65E+01	1.70E+01	1.73E+00	1.54E+00
TCGA-HU-A4GU-01	8.04E+00	6.30E+00	3.61E+00	3.64E+00
TCGA-HU-A4GX-01	7.70E+00	7.95E+00	6.17E-01	9.94E-01
TCGA-HU-A4GY-01	8.24E-01	1.32E+00	1.05E+00	5.62E-01
TCGA-HU-A4H0-01	1.73E+00	3.56E+00	2.98E+00	1.87E+00
TCGA-HU-A4H2-01	1.43E+00	3.40E+00	2.92E+00	1.81E+00
TCGA-HU-A4H3-01	6.33E+00	5.71E+00	1.45E+00	1.16E+00
TCGA-HU-A4H4-01	1.09E+01	1.10E+01	2.59E+00	3.18E+00
TCGA-HU-A4H5-01	2.33E+00	9.27E+00	8.69E+00	4.65E+00
TCGA-HU-A4H6-01	1.32E+00	2.09E+00	1.56E+00	8.86E-01
TCGA-HU-A4H8-01	3.05E+00	2.11E+00	2.02E+00	1.06E+00
TCGA-HU-A4HB-01	2.44E-01	2.94E-01	3.40E-01	1.82E-01
TCGA-HU-A4HD-01	1.55E+00	4.79E+00	4.52E+00	2.75E+00
TCGA-IN-7806-01	1.04E+00	1.93E+00	1.62E+00	1.12E+00
TCGA-IN-7808-01	1.24E+00	2.52E+00	1.86E+00	1.05E+00
TCGA-IN-8462-01	1.29E+00	2.89E+00	2.40E+00	1.28E+00
TCGA-IN-8663-01	1.78E+00	4.26E+00	3.18E+00	2.66E+00
TCGA-IN-A6RI-01	8.64E-01	1.34E+00	1.58E+00	1.30E+00
TCGA-IN-A6RJ-01	1.01E+00	2.19E+00	2.20E+00	1.99E+00
TCGA-IN-A6RL-01	2.55E+00	5.19E+00	7.68E+00	4.86E+00
TCGA-IN-A6RN-01	1.27E+00	4.38E+00	3.83E+00	2.21E+00
TCGA-IN-A6RO-01	2.97E+00	1.01E+01	8.22E+00	4.68E+00
TCGA-IN-A6RP-01	2.23E+00	4.88E+00	3.51E+00	2.10E+00
TCGA-IN-A6RR-01	1.51E+00	3.54E+00	2.54E+00	1.63E+00
TCGA-IN-A6RS-01	1.53E+00	2.70E+00	1.90E+00	1.21E+00
TCGA-IN-A7NR-01	8.49E-01	1.51E+00	1.51E+00	1.60E+00
