Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-EE-A2MS-06	3.66E+01	2.76E+01	1.70E+00	2.96E+01
TCGA-EE-A2MT-06	1.14E+01	1.01E+01	1.15E+00	9.17E+00
TCGA-EE-A2MU-06	6.95E+00	5.90E+00	1.26E+00	5.03E+00
TCGA-EE-A3AA-06	1.42E+01	1.01E+01	1.06E+00	1.32E+01
TCGA-EE-A3AB-06	7.37E+00	8.56E+00	9.49E+00	9.48E+00
TCGA-EE-A3AC-06	1.08E+01	8.68E+00	1.53E+00	8.50E+00
TCGA-EE-A3AD-06	5.73E+00	4.89E+00	9.17E-01	4.29E+00
TCGA-EE-A3AE-06	1.28E+01	7.75E+00	1.16E+00	1.14E+01
TCGA-EE-A3AF-06	1.47E+01	1.28E+01	1.35E+00	1.02E+01
TCGA-EE-A3AG-06	2.29E+01	1.81E+01	1.21E+00	1.85E+01
TCGA-EE-A3AH-06	4.57E+00	4.32E+00	6.55E-01	3.17E+00
TCGA-EE-A3J3-06	2.55E+00	2.66E+00	1.01E+00	1.19E+00
TCGA-EE-A3J4-06	3.73E+00	4.04E+00	1.35E+00	1.72E+00
TCGA-EE-A3J5-06	1.98E+01	1.86E+01	3.24E+00	2.10E+01
TCGA-EE-A3J7-06	1.28E+01	1.07E+01	1.86E+00	9.55E+00
TCGA-EE-A3J8-06	2.90E+00	3.19E+00	8.69E-01	1.89E+00
TCGA-EE-A3JA-06	1.05E+01	8.52E+00	9.66E-01	8.54E+00
TCGA-EE-A3JB-06	7.25E+00	6.24E+00	1.47E+00	4.46E+00
TCGA-EE-A3JD-06	1.67E+01	1.68E+01	2.44E+00	1.81E+01
TCGA-EE-A3JE-06	4.31E+00	4.18E+00	9.17E-01	2.41E+00
TCGA-EE-A3JH-06	3.07E+00	2.68E+00	8.36E-01	1.83E+00
TCGA-EE-A3JI-06	1.22E+01	9.80E+00	2.03E+00	9.95E+00
TCGA-ER-A193-06	1.73E+01	1.69E+01	2.06E+00	1.47E+01
TCGA-ER-A194-01	1.47E+01	1.08E+01	1.43E+00	1.20E+01
TCGA-ER-A195-06	3.44E+00	3.11E+00	7.03E-01	2.73E+00
TCGA-ER-A196-01	2.32E-01	1.95E-01	4.08E-01	3.52E-01
TCGA-ER-A197-06	8.38E-02	3.84E-01	1.05E+00	9.95E-01
TCGA-ER-A198-06	6.75E+00	5.50E+00	9.75E-01	5.50E+00
TCGA-ER-A199-06	3.73E+00	3.22E+00	7.52E-01	2.96E+00
TCGA-ER-A19A-06	2.03E+00	1.78E+00	4.37E-01	1.54E+00
TCGA-ER-A19B-06	1.20E+00	1.11E+00	2.06E+00	2.03E+00
TCGA-ER-A19C-06	1.46E+00	1.51E+00	5.91E-01	6.60E-01
TCGA-ER-A19D-06	5.64E+00	5.15E+00	1.04E+00	3.87E+00
TCGA-ER-A19E-06	4.82E+00	4.91E+00	1.60E+00	3.83E+00
TCGA-ER-A19F-06	1.00E+01	9.17E+00	1.48E+00	9.40E+00
TCGA-ER-A19G-06	6.12E+00	5.07E+00	1.19E+00	4.40E+00
