Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-BH-A0DT-01	4	0	6	4	0	1
TCGA-BH-A0DV-01	4	0	0	3	6	2
TCGA-BH-A0DX-01	37	18	14	0	8	0
TCGA-BH-A0DZ-01	97	117	3	0	0	0
TCGA-BH-A0E0-01	1	1	16	6	0	0
TCGA-BH-A0E1-01	3	5	11	0	0	0
TCGA-BH-A0E9-01	2	0	15	8	0	3
TCGA-BH-A0EA-01	4	1	9	0	13	5
TCGA-BH-A0EI-01	1	0	11	0	7	5
TCGA-BH-A0H3-01	1	0	5	0	11	0
TCGA-BH-A0H5-01	83	67	2	0	17	0
TCGA-BH-A0H7-01	1	4	5	0	2	5
TCGA-BH-A0H9-01	4	0	2	7	6	4
TCGA-BH-A0HA-01	25	19	128	0	0	210
TCGA-BH-A0HI-01	7	2	12	0	14	0
TCGA-BH-A0HK-01	31	10	15	6	0	1
TCGA-BH-A0HN-01	6	1	17	6	4	0
TCGA-BH-A0HP-01	178	172	2	0	0	5
TCGA-BH-A0RX-01	5	2	36	4	0	2
TCGA-BH-A0W3-01	2	2	5	12	1	1
TCGA-BH-A0W4-01	9	3	10	2	12	3
TCGA-BH-A0W5-01	0	1	12	4	7	5
TCGA-BH-A0W7-01	125	131	0	0	0	5
TCGA-BH-A0WA-01	16	6	7	56	14	14
TCGA-BH-A18F-01	24	1	18	0	24	0
TCGA-BH-A18G-01	8	10	483	55	0	1112
TCGA-BH-A18H-01	10	5	4	0	22	13
TCGA-BH-A18I-01	6	2	22	1	0	0
TCGA-BH-A18J-01	58	36	1	0	0	16
TCGA-BH-A18K-01	18	15	7	14	8	6
TCGA-BH-A18L-01	1	4	29	9	13	9
TCGA-BH-A18M-01	3	3	9	2	0	1
TCGA-BH-A18N-01	0	2	18	5	4	14
TCGA-BH-A18P-01	232	183	20	0	0	3
TCGA-BH-A18Q-01	1	8	3	38	49	8
TCGA-BH-A18R-01	6	2	2	21	7	4
TCGA-BH-A18S-01	0	3	4	9	9	12
TCGA-BH-A18T-01	6	12	9	62	0	13
TCGA-BH-A18U-01	62	35	29	28	4	20
TCGA-BH-A18V-01	29	74	0	112	21	14
TCGA-BH-A1EO-01	8	0	33	9	0	0
TCGA-BH-A1ET-01	1	0	10	12	3	7
TCGA-BH-A1EU-01	2	1	6	0	18	7
TCGA-BH-A1EV-01	40	38	27	18	0	6
TCGA-BH-A1EW-01	6	0	3	0	9	3
TCGA-BH-A1EX-01	2	0	14	7	7	5
TCGA-BH-A1EY-01	6	12	15	5	9	8
TCGA-BH-A1F0-01	2	19	13	10	50	1
TCGA-BH-A1F2-01	12	8	27	9	10	5
TCGA-BH-A1F5-01	6	0	16	3	19	0
TCGA-BH-A1F6-01	4	4	17	19	0	9
TCGA-BH-A1F8-01	96	57	16	15	4	4
TCGA-BH-A1FC-01	18	24	27	31	12	18
TCGA-BH-A1FE-01	5	1	4	0	15	1
TCGA-BH-A1FG-01	0	1	8	2	5	5
TCGA-BH-A1FH-01	5	1	14	1	12	0
TCGA-BH-A1FJ-01	3	0	18	0	24	0
TCGA-BH-A1FL-01	4	0	10	0	8	4
TCGA-BH-A1FM-01	15	10	26	11	0	0
TCGA-BH-A1FN-01	36	51	3	38	8	10
TCGA-BH-A1FR-01	1	1	6	6	0	3
TCGA-BH-A1FU-01	7	17	12	19	34	29
TCGA-BH-A201-01	4	0	2	7	3	11
TCGA-BH-A202-01	3	0	9	12	0	4
TCGA-BH-A203-01	17	14	48	10	2	8
TCGA-BH-A204-01	3	5	13	5	21	5
TCGA-BH-A208-01	21	25	18	16	2	0
TCGA-BH-A209-01	40	65	6	0	8	0
TCGA-BH-A28Q-01	2	2	14	5	0	3
TCGA-BH-A2L8-01	329	299	0	0	0	0
TCGA-BH-A42U-01	17	4	4	0	7	0
TCGA-BH-A42V-01	29	19	7	0	0	0
TCGA-BH-A5IZ-01	7	6	15	28	32	8
TCGA-BH-A5J0-01	52	16	18	0	8	8
TCGA-BH-A6R8-01	5	2	16	1	9	4
TCGA-BH-A6R9-01	1	0	7	17	0	0
TCGA-BH-A8FY-01	4	5	6	20	14	7
TCGA-BH-A8FZ-01	10	6	12	41	0	22
TCGA-BH-A8G0-01	2	0	9	1	0	5
TCGA-BH-AB28-01	8	0	17	5	0	13
TCGA-C8-A12K-01	12	54	10	79	0	18
