Samples	SBS1	SBS5	SBS7a	SBS7b	SBS10b	SBS15	SBS17a	SBS17b	SBS38	SBS39
TCGA-FS-A1ZJ-06	21	20	15	0	0	0	0	0	0	27
TCGA-FS-A1ZK-06	66	111	537	1498	0	0	0	0	0	0
TCGA-FS-A1ZM-06	14	22	94	168	33	0	0	0	0	0
TCGA-FS-A1ZN-01	8	10	54	65	0	0	0	0	0	0
TCGA-FS-A1ZP-06	18	0	299	162	101	0	0	0	0	0
TCGA-FS-A1ZQ-06	29	19	376	259	0	0	0	0	0	0
TCGA-FS-A1ZR-06	5	0	67	91	24	0	0	0	0	0
TCGA-FS-A1ZS-06	29	50	149	156	0	0	0	0	0	0
TCGA-FS-A1ZT-06	17	2	115	108	0	0	0	0	0	0
TCGA-FS-A1ZU-06	9	17	0	0	13	13	0	0	0	0
TCGA-FS-A1ZW-06	24	50	333	369	132	0	0	0	0	0
TCGA-FS-A1ZY-06	7	15	0	14	0	0	0	0	6	0
TCGA-FS-A1ZZ-06	34	0	1061	734	318	0	0	0	0	0
TCGA-FS-A4F0-06	35	61	241	433	0	0	0	0	0	0
TCGA-FS-A4F4-06	10	9	17	0	0	0	0	0	0	20
TCGA-FS-A4F5-06	17	0	395	470	143	0	0	0	0	0
TCGA-FS-A4F8-06	16	29	91	99	0	0	0	0	0	0
TCGA-FS-A4F9-06	23	33	268	266	0	0	0	0	0	0
TCGA-FS-A4FB-06	9	16	80	116	29	0	0	0	0	0
TCGA-FS-A4FC-06	31	1	418	441	108	0	0	0	0	0
TCGA-FS-A4FD-06	11	0	295	232	70	0	0	0	0	0
TCGA-FW-A3I3-06	28	45	0	0	0	0	0	0	0	0
TCGA-FW-A3R5-06	651	0	9616	12695	4507	0	0	0	0	0
TCGA-FW-A3TU-06	64	111	334	571	0	0	0	0	0	0
TCGA-FW-A3TV-06	12	39	187	159	61	0	0	0	0	0
TCGA-FW-A5DX-01	15	31	97	124	0	0	0	0	0	0
TCGA-FW-A5DY-06	15	0	121	105	0	0	0	0	0	0
TCGA-GF-A2C7-01	3	15	29	56	0	0	0	0	0	0
TCGA-GF-A3OT-06	29	39	227	408	81	0	0	0	0	0
TCGA-GF-A4EO-06	16	31	111	188	0	0	0	0	0	0
TCGA-GF-A6C8-06	19	30	178	248	52	0	0	0	0	0
TCGA-GF-A6C9-06	71	0	2019	1277	487	0	0	0	0	0
TCGA-GF-A769-01	14	18	58	104	21	0	0	0	0	0
