Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-AR-A255-01	15	14	8	0	0	15	0	6	31
TCGA-AR-A256-01	15	12	7	29	104	13	13	17	14
TCGA-AR-A2LE-01	112	147	1	134	0	0	0	0	0
TCGA-AR-A2LH-01	14	20	4	25	0	6	0	2	0
TCGA-AR-A2LK-01	0	4	19	8	5	2	1	7	2
TCGA-AR-A2LL-01	0	0	11	0	0	19	0	0	7
TCGA-AR-A2LM-01	0	0	0	3	2	10	0	2	0
TCGA-AR-A2LN-01	4	12	7	26	0	0	0	5	0
TCGA-AR-A2LO-01	1	2	3	0	5	5	0	0	1
TCGA-AR-A2LQ-01	0	0	4	0	5	2	0	2	0
TCGA-AR-A2LR-01	1	2	12	2	7	10	19	0	17
TCGA-AR-A5QM-01	0	0	9	1	2	13	4	2	5
TCGA-AR-A5QN-01	0	5	18	4	0	0	19	3	0
TCGA-AR-A5QP-01	0	3	7	2	0	9	6	5	2
TCGA-AR-A5QQ-01	8	5	9	4	35	0	17	16	2
TCGA-B6-A0I1-01	0	5	11	0	14	50	0	0	0
TCGA-B6-A0IH-01	0	2	13	4	0	0	20	2	0
TCGA-B6-A0RH-01	5	9	5	4	4	17	0	1	0
TCGA-B6-A0RL-01	5	14	21	1	7	0	13	3	5
TCGA-B6-A0RM-01	0	6	10	0	0	4	14	2	0
TCGA-B6-A0RN-01	0	2	12	1	3	5	5	5	0
TCGA-B6-A0RO-01	0	3	0	3	6	13	14	4	0
TCGA-B6-A0RP-01	0	0	6	4	0	0	16	0	4
TCGA-B6-A0RQ-01	4	10	8	20	4	0	0	8	2
TCGA-B6-A0RT-01	15	2	5	0	26	14	0	3	7
TCGA-B6-A0RU-01	1	4	11	12	8	0	0	12	10
TCGA-B6-A0RV-01	20	26	5	0	0	16	0	0	0
TCGA-B6-A0WS-01	2	2	2	1	0	0	0	7	4
TCGA-B6-A0WT-01	0	0	7	6	0	0	0	6	3
TCGA-B6-A0WV-01	4	0	2	5	1	2	22	1	0
TCGA-B6-A0WW-01	4	7	11	5	5	0	0	5	10
TCGA-B6-A0WX-01	1	0	11	0	5	10	0	7	11
TCGA-B6-A0WY-01	2	5	7	0	4	3	9	5	0
TCGA-B6-A0WZ-01	21	46	2	14	4	2	5	0	1
TCGA-B6-A0X0-01	0	2	3	1	0	10	0	0	9
TCGA-B6-A0X1-01	13	2	2	20	25	5	12	13	0
TCGA-B6-A0X4-01	0	0	4	6	0	8	0	0	4
TCGA-B6-A0X5-01	1	3	2	7	0	7	0	7	21
TCGA-B6-A0X7-01	1	3	6	3	0	7	3	0	0
TCGA-B6-A1KN-01	3	1	9	5	0	0	18	6	30
TCGA-B6-A2IU-01	0	14	12	6	0	8	9	5	0
TCGA-B6-A401-01	1	0	7	2	0	3	15	0	0
TCGA-B6-A409-01	2	3	13	2	6	17	4	3	6
TCGA-B6-A40B-01	4	12	8	5	6	0	23	2	6
TCGA-B6-A40C-01	0	3	21	0	0	15	0	2	13
TCGA-BH-A0AU-01	2	1	5	0	0	4	9	0	2
TCGA-BH-A0AV-01	11	3	0	9	27	0	30	7	0
TCGA-BH-A0AY-01	0	5	7	1	0	23	0	0	10
TCGA-BH-A0AZ-01	7	12	0	0	16	6	8	5	16
TCGA-BH-A0B0-01	21	41	7	30	0	0	0	0	0
TCGA-BH-A0B3-01	1	2	6	0	5	0	0	0	4
TCGA-BH-A0B6-01	483	505	4	234	0	64	0	0	0
TCGA-BH-A0B7-01	7	3	13	9	8	0	0	1	1
TCGA-BH-A0B8-01	0	3	0	9	4	2	16	0	0
TCGA-BH-A0BA-01	3	5	5	0	3	0	11	2	0
TCGA-BH-A0BC-01	3	8	11	7	1	11	2	2	0
TCGA-BH-A0BF-01	7	1	8	0	5	2	6	4	0
TCGA-BH-A0BG-01	4	6	7	0	21	0	4	3	0
TCGA-BH-A0BJ-01	0	0	1	2	0	6	2	1	5
TCGA-BH-A0BL-01	2	0	12	1	24	10	0	0	20
TCGA-BH-A0BM-01	0	3	1	0	0	0	4	0	11
TCGA-BH-A0BO-01	3	0	3	1	0	12	1	11	0
TCGA-BH-A0BP-01	30	17	32	31	24	9	25	0	28
TCGA-BH-A0BQ-01	0	3	9	0	1	5	5	0	7
TCGA-BH-A0BS-01	0	1	4	0	9	3	4	2	0
TCGA-BH-A0BT-01	1	4	15	11	10	0	0	7	0
TCGA-BH-A0BV-01	0	3	1	1	0	8	11	0	0
TCGA-BH-A0BW-01	5	9	5	0	23	27	19	15	0
TCGA-BH-A0BZ-01	30	12	12	5	99	0	61	15	62
TCGA-BH-A0C0-01	1	4	5	3	16	1	2	11	5
TCGA-BH-A0C1-01	0	7	12	0	0	0	31	0	0
TCGA-BH-A0C3-01	0	0	1	0	1	11	0	5	0
TCGA-BH-A0C7-01	1	1	11	0	0	26	17	2	0
TCGA-BH-A0DD-01	3	3	17	5	2	0	1	6	0
TCGA-BH-A0DE-01	0	2	1	5	3	10	10	0	2
TCGA-BH-A0DG-01	7	5	0	8	0	15	4	5	3
TCGA-BH-A0DH-01	1	11	13	0	0	13	12	2	0
TCGA-BH-A0DI-01	11	10	12	4	11	0	4	2	8
TCGA-BH-A0DK-01	3	3	8	0	0	3	0	6	30
TCGA-BH-A0DL-01	5	13	19	0	4	0	11	7	6
TCGA-BH-A0DO-01	3	4	5	1	5	4	6	2	0
TCGA-BH-A0DP-01	0	4	2	4	7	0	0	2	0
TCGA-BH-A0DQ-01	2	1	10	0	1	0	18	2	1
TCGA-BH-A0DT-01	0	3	4	0	2	1	5	0	0
TCGA-BH-A0DV-01	0	3	0	0	2	0	10	0	0
TCGA-BH-A0DX-01	13	28	8	0	0	19	0	0	9
TCGA-BH-A0DZ-01	96	67	1	53	0	0	0	0	0
TCGA-BH-A0E0-01	1	0	12	5	5	0	0	1	0
TCGA-BH-A0E1-01	3	1	4	2	0	9	0	0	0
TCGA-BH-A0E9-01	0	2	12	0	5	0	5	2	2
TCGA-BH-A0EA-01	1	3	3	0	0	8	17	0	0
TCGA-BH-A0EI-01	0	0	8	6	4	0	0	5	1
TCGA-BH-A0H3-01	0	1	1	0	0	10	5	0	0
TCGA-BH-A0H5-01	56	57	0	47	0	7	0	0	2
TCGA-BH-A0H7-01	2	1	2	0	0	9	0	3	0
TCGA-BH-A0H9-01	0	4	1	0	5	5	2	3	3
TCGA-BH-A0HA-01	15	20	111	5	0	0	83	148	0
TCGA-BH-A0HI-01	1	5	9	2	0	6	0	1	11
TCGA-BH-A0HK-01	8	19	11	19	1	0	5	0	0
TCGA-BH-A0HN-01	0	4	10	4	3	13	0	0	0
TCGA-BH-A0HP-01	138	115	1	103	0	0	0	0	0
TCGA-BH-A0RX-01	1	4	24	3	1	12	0	4	0
TCGA-BH-A0W3-01	2	3	4	0	7	1	0	2	4
TCGA-BH-A0W4-01	1	5	3	5	0	21	0	4	0
TCGA-BH-A0W5-01	0	0	10	0	1	6	0	5	7
TCGA-BH-A0W7-01	110	104	0	22	0	20	0	5	0
TCGA-BH-A0WA-01	7	9	5	20	45	0	13	10	4
TCGA-BH-A18F-01	0	14	11	16	0	19	0	1	6
TCGA-BH-A18G-01	3	8	385	0	0	0	588	684	0
TCGA-BH-A18H-01	4	5	0	12	0	4	24	5	0
TCGA-BH-A18I-01	2	4	17	6	0	0	0	1	1
TCGA-BH-A18J-01	29	50	5	0	2	0	6	8	11
TCGA-BH-A18K-01	11	16	3	2	8	11	10	4	3
TCGA-BH-A18L-01	3	0	23	7	2	0	10	6	14
TCGA-BH-A18M-01	3	2	6	4	1	0	1	1	0
TCGA-BH-A18N-01	1	0	13	0	4	12	0	13	0
TCGA-BH-A18P-01	154	166	15	101	0	0	0	2	0
TCGA-BH-A18Q-01	6	1	0	5	36	19	24	3	13
TCGA-BH-A18R-01	1	3	0	6	16	12	0	4	0
TCGA-BH-A18S-01	3	0	3	3	5	0	5	9	9
TCGA-BH-A18T-01	10	6	3	0	45	11	22	5	0
TCGA-BH-A18U-01	29	48	25	19	25	8	11	13	0
TCGA-BH-A18V-01	64	23	0	25	77	0	0	15	46
TCGA-BH-A1EO-01	0	7	25	0	11	7	0	0	0
TCGA-BH-A1ET-01	0	1	9	0	4	0	3	6	10
TCGA-BH-A1EU-01	0	0	4	7	0	15	0	8	0
TCGA-BH-A1EV-01	33	26	21	28	10	3	0	8	0
TCGA-BH-A1EW-01	0	2	1	12	1	0	2	3	0
TCGA-BH-A1EX-01	0	0	7	6	4	12	0	6	0
TCGA-BH-A1EY-01	8	4	6	4	3	23	0	7	0
TCGA-BH-A1F0-01	15	0	5	17	12	26	0	5	15
TCGA-BH-A1F2-01	7	9	23	7	5	0	0	4	16
TCGA-BH-A1F5-01	0	4	11	6	4	12	0	0	7
TCGA-BH-A1F6-01	3	4	12	0	11	4	16	3	0
TCGA-BH-A1F8-01	48	73	14	26	0	5	2	2	22
TCGA-BH-A1FC-01	21	15	21	7	20	4	19	11	12
TCGA-BH-A1FE-01	1	4	3	4	2	2	1	1	8
TCGA-BH-A1FG-01	1	0	5	2	1	5	5	2	0
TCGA-BH-A1FH-01	0	2	7	7	0	12	5	0	0
TCGA-BH-A1FJ-01	0	1	14	7	0	12	11	0	0
