Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-FW-A3I3-06	7	10	41	8	7
TCGA-FW-A3R5-06	23802	0	716	1467	1484
TCGA-FW-A3TU-06	919	99	62	0	0
TCGA-FW-A3TV-06	380	1	16	34	27
TCGA-FW-A5DX-01	224	27	16	0	0
TCGA-FW-A5DY-06	234	0	7	0	0
TCGA-GF-A2C7-01	85	15	3	0	0
TCGA-GF-A3OT-06	676	57	33	0	18
TCGA-GF-A4EO-06	300	36	9	0	1
TCGA-GF-A6C8-06	466	22	22	0	17
TCGA-GF-A6C9-06	3592	0	0	151	111
TCGA-GF-A769-01	167	24	16	1	7
TCGA-GN-A262-06	422	55	18	0	0
TCGA-GN-A263-01	584	17	0	2	0
TCGA-GN-A264-06	10	13	10	15	13
TCGA-GN-A265-06	267	26	0	0	17
TCGA-GN-A266-06	4885	0	12	311	139
TCGA-GN-A267-06	529	28	37	0	6
TCGA-GN-A268-06	401	9	20	21	0
TCGA-GN-A269-01	955	29	0	5	9
TCGA-GN-A26A-06	413	22	17	0	0
TCGA-GN-A26C-01	2393	0	7	82	25
TCGA-GN-A26D-06	14	29	11	2	2
TCGA-GN-A4U3-06	408	29	10	0	14
TCGA-GN-A4U4-06	957	13	3	0	2
TCGA-GN-A4U5-01	402	37	14	0	0
TCGA-GN-A4U7-06	272	42	23	10	0
TCGA-GN-A4U8-06	513	18	2	13	0
TCGA-GN-A4U9-06	5	19	27	3	23
TCGA-GN-A8LK-06	2670	60	46	0	16
TCGA-GN-A8LL-06	15	27	19	8	1
TCGA-GN-A8LN-01	305	3	9	14	29
TCGA-GN-A9SD-06	153	30	7	14	0
TCGA-HR-A2OG-06	217	9	21	0	7
TCGA-HR-A2OH-06	128	1	12	0	16
TCGA-HR-A5NC-01	48	23	22	0	0
TCGA-IH-A3EA-01	2000	0	0	15	0
TCGA-LH-A9QB-06	314	23	3	0	19
TCGA-OD-A75X-06	1408	0	47	0	0
TCGA-QB-A6FS-06	1591	0	11	0	2
TCGA-QB-AA9O-06	1853	34	61	30	118
TCGA-RP-A690-06	5	0	13	0	2
TCGA-RP-A693-06	989	73	29	0	0
TCGA-RP-A694-06	846	13	18	49	49
TCGA-RP-A695-06	1148	37	0	0	0
TCGA-RP-A6K9-06	2	30	30	3	3
TCGA-W3-A824-06	1800	40	191	0	0
TCGA-W3-A825-06	1418	0	16	54	66
TCGA-W3-A828-06	1580	255	16	0	0
TCGA-W3-AA1O-06	1020	0	21	7	0
TCGA-W3-AA1Q-06	1222	0	23	0	24
TCGA-W3-AA1R-06	2210	45	39	39	58
TCGA-W3-AA1V-06	6958	145	26	190	170
TCGA-W3-AA1W-06	893	0	21	31	14
TCGA-W3-AA21-06	644	3	25	16	15
TCGA-WE-A8JZ-06	238	31	9	3	0
TCGA-WE-A8K1-06	387	9	18	8	38
TCGA-WE-A8K4-01	1069	41	18	0	31
TCGA-WE-A8K5-06	1462	0	46	48	34
TCGA-WE-A8K6-06	318	32	13	0	3
TCGA-WE-A8ZM-06	59	14	15	0	15
TCGA-WE-A8ZN-06	200	15	10	0	0
TCGA-WE-A8ZO-06	459	0	10	0	18
TCGA-WE-A8ZQ-06	168	43	32	1	6
TCGA-WE-A8ZR-06	10	6	11	3	6
TCGA-WE-A8ZT-06	600	26	2	0	0
TCGA-WE-A8ZX-06	744	0	0	56	0
TCGA-WE-A8ZY-06	295	32	10	0	9
TCGA-WE-AA9Y-06	86	12	6	0	0
TCGA-WE-AAA0-06	1891	91	0	0	0
TCGA-WE-AAA3-06	454	0	10	34	32
TCGA-WE-AAA4-06	261	0	12	6	33
TCGA-XV-A9VZ-01	3	4	6	5	0
TCGA-XV-A9W2-01	5	16	20	15	0
TCGA-XV-A9W5-01	90	14	10	11	10
TCGA-XV-AAZV-01	142	2	15	0	0
TCGA-XV-AAZW-01	151	19	19	13	12
TCGA-XV-AAZY-01	222	0	0	17	0
TCGA-YD-A89C-06	2319	8	19	54	5
TCGA-YD-A9TA-06	4437	0	53	146	0
TCGA-YD-A9TB-06	388	0	10	47	23
TCGA-YG-AA3N-01	2739	4	0	53	0
TCGA-YG-AA3O-06	1490	9	25	2	1
TCGA-YG-AA3P-06	13	45	22	0	18
TCGA-Z2-A8RT-06	4007	0	0	68	0
TCGA-Z2-AA3S-06	277	10	5	0	1
TCGA-Z2-AA3V-06	568	6	14	4	1
TCGA-3C-AAAU-01	3	2	31	7	2
TCGA-3C-AALI-01	11	50	48	656	43
TCGA-3C-AALJ-01	9	24	21	12	0
TCGA-3C-AALK-01	7	15	28	14	0
TCGA-4H-AAAK-01	4	6	17	0	6
TCGA-5L-AAT0-01	80	0	17	169	13
TCGA-5L-AAT1-01	220	30	24	1650	62
TCGA-5T-A9QA-01	9	10	34	0	0
TCGA-A1-A0SB-01	1	1	11	1	2
TCGA-A1-A0SD-01	3	9	24	4	0
TCGA-A1-A0SE-01	12	8	8	5	3
TCGA-A1-A0SF-01	18	0	10	34	2
TCGA-A1-A0SG-01	7	1	17	3	7
TCGA-A1-A0SH-01	22	25	12	79	0
TCGA-A1-A0SI-01	4	15	10	245	4
TCGA-A1-A0SJ-01	0	5	23	11	1
TCGA-A1-A0SK-01	7	37	32	5	3
TCGA-A1-A0SM-01	5	5	15	0	7
TCGA-A1-A0SN-01	8	6	24	28	10
TCGA-A1-A0SO-01	14	222	44	39	34
TCGA-A1-A0SP-01	19	23	28	0	0
TCGA-A2-A04N-01	11	9	20	5	8
TCGA-A2-A04R-01	3	53	20	13	13
TCGA-A2-A04U-01	7	18	26	4	12
TCGA-A2-A04W-01	19	10	26	119	13
TCGA-A2-A0CK-01	4	1	18	4	0
TCGA-A2-A0CL-01	2	0	35	158	5
TCGA-A2-A0CR-01	23	0	4	183	0
TCGA-A2-A0CS-01	0	12	31	2	3
TCGA-A2-A0CV-01	2	2	16	2	2
TCGA-A2-A0CW-01	12	17	20	30	5
TCGA-A2-A0D3-01	4	2	25	1	0
TCGA-A2-A0EN-01	11	8	19	0	1
TCGA-A2-A0EP-01	2	4	2	6	2
TCGA-A2-A0ES-01	7	4	8	0	0
TCGA-A2-A0EW-01	0	6	9	3	2
TCGA-A2-A0ST-01	2	9	12	5	0
TCGA-A2-A0SU-01	6	8	19	2	0
TCGA-A2-A0SX-01	7	6	17	7	4
TCGA-A2-A0SY-01	24	0	20	128	5
TCGA-A2-A0T0-01	7	113	38	33	26
TCGA-A2-A0T1-01	6	0	17	0	9
TCGA-A2-A0T3-01	2	19	19	3	1
TCGA-A2-A0T4-01	0	10	19	12	0
TCGA-A2-A0T5-01	1	0	9	1	2
TCGA-A2-A0T6-01	3	0	22	3	0
TCGA-A2-A0T7-01	3	1	16	3	6
TCGA-A2-A0YC-01	2	12	12	6	0
TCGA-A2-A0YD-01	17	0	17	43	10
TCGA-A2-A0YE-01	7	10	19	7	0
TCGA-A2-A0YF-01	6	14	14	1	4
TCGA-A2-A0YG-01	17	20	30	9	2
TCGA-A2-A0YH-01	6	14	22	55	3
TCGA-A2-A0YI-01	5	8	4	1	0
TCGA-A2-A0YJ-01	0	26	46	10	16
TCGA-A2-A0YK-01	7	0	4	467	0
TCGA-A2-A0YL-01	14	0	5	24	0
TCGA-A2-A0YM-01	2	14	43	45	5
TCGA-A2-A0YT-01	17	3	33	18	10
TCGA-A2-A1FV-01	14	4	25	7	0
TCGA-A2-A1FW-01	19	20	41	5	10
