Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-GN-A263-01	471	109	0	13	0	10
TCGA-GN-A264-06	16	0	4	0	27	14
TCGA-GN-A265-06	176	69	0	61	0	4
TCGA-GN-A266-06	4518	0	663	0	88	78
TCGA-GN-A267-06	206	220	121	0	36	17
TCGA-GN-A268-06	265	31	89	48	17	1
TCGA-GN-A269-01	504	214	253	20	0	7
TCGA-GN-A26A-06	251	152	0	38	6	5
TCGA-GN-A26C-01	1755	209	516	0	20	7
TCGA-GN-A26D-06	0	0	9	23	26	0
TCGA-GN-A4U3-06	279	119	25	10	22	6
TCGA-GN-A4U4-06	549	173	190	63	0	0
TCGA-GN-A4U5-01	95	224	100	33	1	0
TCGA-GN-A4U7-06	182	104	9	0	33	19
TCGA-GN-A4U8-06	345	80	94	4	13	10
TCGA-GN-A4U9-06	0	0	2	16	36	23
TCGA-GN-A8LK-06	1648	531	320	285	0	8
TCGA-GN-A8LL-06	11	8	0	6	34	11
TCGA-GN-A8LN-01	293	0	5	38	23	1
TCGA-GN-A9SD-06	171	0	0	0	27	6
TCGA-HR-A2OG-06	52	82	76	26	13	5
TCGA-HR-A2OH-06	100	33	0	2	13	9
TCGA-HR-A5NC-01	1	43	15	0	31	3
TCGA-IH-A3EA-01	877	304	727	107	0	0
TCGA-LH-A9QB-06	230	78	19	7	23	2
TCGA-OD-A75X-06	737	184	262	272	0	0
TCGA-QB-A6FS-06	1149	174	147	134	0	0
TCGA-QB-AA9O-06	1525	186	41	248	33	63
TCGA-RP-A690-06	0	1	0	7	10	2
TCGA-RP-A693-06	597	352	38	79	11	14
TCGA-RP-A694-06	864	33	0	0	46	32
TCGA-RP-A695-06	753	208	93	131	0	0
TCGA-RP-A6K9-06	0	6	0	7	49	6
TCGA-W3-A824-06	1210	368	152	124	177	0
TCGA-W3-A825-06	1286	20	94	91	36	27
TCGA-W3-A828-06	119	1034	628	22	18	30
TCGA-W3-AA1O-06	551	229	232	34	2	0
TCGA-W3-AA1Q-06	943	0	149	177	0	0
TCGA-W3-AA1R-06	1948	139	37	219	34	14
TCGA-W3-AA1V-06	4905	1042	1290	0	113	139
TCGA-W3-AA1W-06	544	97	284	0	34	0
TCGA-W3-AA21-06	471	18	124	68	22	0
TCGA-WE-A8JZ-06	3	95	153	0	30	0
TCGA-WE-A8K1-06	335	0	34	62	27	2
TCGA-WE-A8K4-01	699	196	100	159	0	5
TCGA-WE-A8K5-06	1421	64	0	49	48	8
TCGA-WE-A8K6-06	249	72	0	28	17	0
TCGA-WE-A8ZM-06	32	0	10	34	17	10
TCGA-WE-A8ZN-06	161	35	0	18	11	0
TCGA-WE-A8ZO-06	340	6	42	99	0	0
TCGA-WE-A8ZQ-06	133	41	0	4	62	10
TCGA-WE-A8ZR-06	0	0	18	0	18	0
TCGA-WE-A8ZT-06	289	171	126	41	1	0
TCGA-WE-A8ZX-06	592	0	204	0	2	2
TCGA-WE-A8ZY-06	212	37	35	39	18	5
TCGA-WE-AA9Y-06	13	40	38	0	10	3
TCGA-WE-AAA0-06	956	584	384	50	0	8
TCGA-WE-AAA3-06	437	0	64	0	19	10
TCGA-WE-AAA4-06	244	6	0	33	16	13
TCGA-XV-A9VZ-01	0	5	2	0	10	1
TCGA-XV-A9W2-01	15	0	0	0	40	1
TCGA-XV-A9W5-01	98	0	4	0	32	1
TCGA-XV-AAZV-01	57	21	54	8	19	0
TCGA-XV-AAZW-01	143	9	9	7	39	7
TCGA-XV-AAZY-01	165	19	54	0	0	1
TCGA-YD-A89C-06	1687	301	356	30	23	8
TCGA-YD-A9TA-06	2617	641	1293	0	44	41
TCGA-YD-A9TB-06	327	0	102	0	27	12
TCGA-YG-AA3N-01	1684	459	653	0	0	0
TCGA-YG-AA3O-06	603	310	504	105	5	0
TCGA-YG-AA3P-06	0	21	0	0	49	28
TCGA-Z2-A8RT-06	1588	750	1732	0	0	5
TCGA-Z2-AA3S-06	106	54	91	42	0	0
TCGA-Z2-AA3V-06	188	155	229	7	14	0
