Samples	SBS1	SBS2	SBS5	SBS10a	SBS10b	SBS13	SBS15	SBS17a	SBS17b	SBS21	SBS40a	SBS54	SBS87
TCGA-D7-8578-01	6	0	7	0	0	0	23	0	0	0	0	0	31
TCGA-D7-8579-01	38	0	28	0	0	0	24	17	36	0	0	0	0
TCGA-D7-A4YT-01	50	0	98	0	0	0	0	0	0	0	216	0	0
TCGA-D7-A4YU-01	85	0	57	0	0	0	0	17	42	0	84	0	0
TCGA-D7-A4YV-01	399	0	234	0	0	0	367	0	0	0	0	0	0
TCGA-D7-A4YX-01	36	0	29	0	0	0	0	0	0	0	0	0	35
TCGA-D7-A4YY-01	84	0	130	0	0	0	195	0	40	0	0	0	101
TCGA-D7-A4Z0-01	42	0	36	0	0	0	0	93	195	0	0	0	0
TCGA-D7-A6ET-01	11	0	3	0	0	0	0	0	0	0	20	0	0
TCGA-D7-A6EV-01	85	0	119	0	0	0	0	0	0	0	0	0	0
TCGA-D7-A6EX-01	6	0	47	0	21	0	34	0	0	0	0	0	45
TCGA-D7-A6EY-01	413	0	316	0	0	0	513	0	0	0	0	319	0
TCGA-D7-A6EZ-01	44	0	229	0	0	41	0	0	0	0	0	0	0
TCGA-D7-A6F0-01	0	12	34	0	0	8	52	0	0	0	0	0	51
TCGA-D7-A6F2-01	39	0	18	0	0	0	0	0	0	0	33	0	0
TCGA-D7-A747-01	22	0	0	0	0	0	0	11	40	0	53	0	0
TCGA-D7-A748-01	2	0	8	0	0	0	18	0	0	0	0	0	23
TCGA-D7-A74A-01	31	22	34	0	0	53	0	0	0	0	0	0	55
TCGA-D7-A74B-01	13	0	9	0	0	0	0	6	0	0	14	0	0
TCGA-EQ-5647-01	33	17	4	0	0	0	0	0	0	0	56	0	0
TCGA-EQ-8122-01	29	0	15	0	0	0	39	0	0	0	99	0	46
TCGA-EQ-A4SO-01	0	0	112	0	0	32	26	0	0	0	0	0	35
TCGA-F1-6177-01	295	0	162	0	0	0	496	0	0	0	0	0	442
TCGA-F1-6874-01	169	0	232	0	0	0	321	0	0	0	0	0	269
TCGA-F1-6875-01	31	0	53	0	0	0	0	0	0	0	0	0	31
TCGA-F1-A448-01	249	0	72	0	0	0	229	0	0	0	0	118	0
TCGA-F1-A72C-01	11	0	12	0	0	0	17	0	0	0	0	0	21
TCGA-FP-7735-01	25	14	0	0	0	0	0	0	0	0	32	0	0
TCGA-FP-7829-01	44	0	103	22	0	0	63	0	0	0	0	0	74
TCGA-FP-7916-01	28	0	21	0	0	0	39	0	0	0	0	0	37
TCGA-FP-7998-01	28	0	11	0	0	0	0	0	0	0	42	0	0
TCGA-FP-8099-01	57	0	54	0	31	0	31	0	0	0	0	0	0
TCGA-FP-8209-01	0	0	0	0	0	0	1	0	0	0	0	0	0
TCGA-FP-8210-01	0	0	2	0	0	0	0	0	0	0	0	3	0
TCGA-FP-8211-01	9	0	28	0	0	0	0	0	0	0	79	0	0
TCGA-FP-8631-01	9	0	94	0	0	0	0	0	0	0	0	0	17
TCGA-FP-A4BE-01	750	0	432	0	0	0	459	0	0	0	0	0	0
TCGA-FP-A4BF-01	39	0	48	0	0	0	35	0	0	0	0	0	0
TCGA-FP-A8CX-01	37	0	77	0	0	0	0	0	0	0	0	0	0
TCGA-FP-A9TM-01	83	0	34	0	0	0	0	0	0	0	91	0	0
TCGA-HF-7131-01	15	21	3	0	0	14	0	8	15	0	39	0	0
TCGA-HF-7132-01	484	0	359	0	0	0	537	0	0	0	0	0	0
TCGA-HF-7133-01	33	0	0	0	0	0	0	0	0	0	56	0	0
TCGA-HF-7134-01	96	0	23	0	0	0	0	27	64	0	145	0	0
TCGA-HF-7136-01	26	0	38	0	0	0	32	0	0	0	0	0	0
TCGA-HF-A5NB-01	490	0	265	0	0	0	561	0	0	0	0	240	0
TCGA-HJ-7597-01	415	0	258	0	0	0	203	0	0	0	0	0	0
TCGA-HU-8238-01	10	0	46	0	0	0	37	11	31	0	0	0	67
TCGA-HU-8243-01	46	0	48	0	0	0	25	0	0	0	0	0	42
TCGA-HU-8244-01	77	0	43	0	0	0	0	0	0	0	0	0	45
TCGA-HU-8245-01	22	0	25	0	0	0	20	0	0	0	0	10	0
TCGA-HU-8249-01	36	0	51	0	0	0	43	0	0	0	0	0	45
TCGA-HU-8602-01	718	0	234	0	0	0	521	0	0	0	0	288	0
TCGA-HU-8604-01	42	0	80	0	0	0	53	0	25	0	0	0	58
TCGA-HU-8608-01	21	0	64	0	0	0	20	0	0	0	0	0	0
TCGA-HU-8610-01	17	0	18	0	13	0	21	0	0	0	0	0	0
TCGA-HU-A4G2-01	20	0	34	0	9	0	0	0	0	0	0	0	0
TCGA-HU-A4G3-01	50	0	42	0	0	0	0	0	0	0	34	0	0
TCGA-HU-A4G6-01	11	0	26	0	0	0	22	0	0	0	0	0	37
TCGA-HU-A4G8-01	609	0	347	0	0	0	480	0	0	0	0	185	0
TCGA-HU-A4G9-01	333	0	144	0	0	0	229	0	0	0	0	145	0
TCGA-HU-A4GC-01	72	0	61	0	0	0	37	0	0	0	0	0	0
TCGA-HU-A4GD-01	40	14	53	0	0	0	0	0	0	0	0	0	0
TCGA-HU-A4GF-01	32	0	83	0	0	0	40	0	14	0	0	0	0
TCGA-HU-A4GH-01	35	0	159	0	0	0	0	221	544	0	0	0	0
TCGA-HU-A4GJ-01	0	0	0	0	0	0	0	0	0	0	0	0	6
TCGA-HU-A4GN-01	418	0	419	0	0	0	462	0	0	0	0	0	0
TCGA-HU-A4GP-01	72	0	139	0	0	0	52	0	0	0	0	0	0
TCGA-HU-A4GQ-01	506	0	227	0	0	0	685	0	0	0	0	0	612
TCGA-HU-A4GT-01	428	0	254	0	0	0	495	0	0	0	0	309	0
TCGA-HU-A4GU-01	104	0	0	0	0	0	1622	0	0	0	0	0	0
TCGA-HU-A4GX-01	541	0	401	0	0	0	387	0	0	0	0	0	0
TCGA-HU-A4GY-01	40	0	6	0	0	0	0	0	0	0	33	0	0
