Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-MP-A4TJ-01	62	45	5	3
TCGA-MP-A4TK-01	320	20	77	25
TCGA-MP-A5C7-01	38	46	4	8
TCGA-NJ-A4YF-01	671	39	30	41
TCGA-NJ-A4YG-01	77	61	52	8
TCGA-NJ-A4YI-01	426	75	33	25
TCGA-NJ-A4YP-01	163	0	482	46
TCGA-NJ-A4YQ-01	1206	93	34	58
TCGA-NJ-A55A-01	110	25	12	0
TCGA-NJ-A55O-01	132	14	11	8
TCGA-NJ-A55R-01	245	32	16	30
TCGA-NJ-A7XG-01	11	31	0	0
TCGA-O1-A52J-01	147	39	13	12
TCGA-S2-AA1A-01	113	18	4	9
TCGA-18-3406-01	94	63	102	18
TCGA-18-3407-01	16	61	4	11
TCGA-18-3408-01	33	47	0	18
TCGA-18-3409-01	0	0	0	4267
TCGA-18-3410-01	86	52	109	0
TCGA-18-3411-01	177	138	37	46
TCGA-18-3412-01	55	51	35	6
TCGA-18-3414-01	151	100	96	35
TCGA-18-3415-01	72	55	79	29
TCGA-18-3416-01	221	94	65	8
TCGA-18-3417-01	190	102	40	20
TCGA-18-3421-01	169	92	82	42
TCGA-18-4083-01	291	100	59	23
TCGA-18-4721-01	103	83	18	21
TCGA-18-5592-01	224	76	38	26
TCGA-18-5595-01	32	39	191	57
TCGA-21-1070-01	548	73	41	25
TCGA-21-1071-01	92	65	35	25
TCGA-21-1076-01	276	45	66	20
TCGA-21-1077-01	134	69	76	16
TCGA-21-1078-01	2	29	66	0
TCGA-21-1081-01	85	142	20	14
TCGA-21-1082-01	247	74	172	0
TCGA-21-1083-01	635	99	157	25
TCGA-21-5782-01	239	75	171	0
TCGA-21-5783-01	200	162	117	50
TCGA-21-5784-01	162	38	37	23
TCGA-21-5786-01	351	84	24	25
TCGA-21-5787-01	373	58	55	22
TCGA-21-A5DI-01	53	57	44	18
TCGA-22-0940-01	122	70	37	38
TCGA-22-0944-01	72	43	27	22
TCGA-22-1000-01	40	28	32	22
TCGA-22-1002-01	207	63	15	12
TCGA-22-1005-01	232	52	40	22
TCGA-22-1011-01	10	29	94	0
TCGA-22-1012-01	185	93	53	17
TCGA-22-1016-01	316	55	45	33
TCGA-22-4591-01	101	111	11	46
TCGA-22-4593-01	84	85	34	28
TCGA-22-4594-01	314	89	23	13
TCGA-22-4595-01	207	70	95	30
TCGA-22-4596-01	77	65	9	23
TCGA-22-4599-01	271	109	17	52
TCGA-22-4601-01	108	58	50	18
TCGA-22-4604-01	116	121	31	38
TCGA-22-4605-01	53	37	12	11
TCGA-22-4607-01	13	22	40	9
TCGA-22-4609-01	158	60	21	12
TCGA-22-4613-01	544	132	44	62
TCGA-22-5471-01	147	60	37	54
TCGA-22-5472-01	500	0	6	0
TCGA-22-5473-01	417	153	377	62
TCGA-22-5474-01	21	32	56	0
TCGA-22-5477-01	30	50	142	0
TCGA-22-5478-01	120	87	7	10
TCGA-22-5479-01	185	165	237	56
TCGA-22-5480-01	106	58	22	16
TCGA-22-5481-01	209	100	37	24
TCGA-22-5482-01	117	47	21	25
TCGA-22-5483-01	166	73	36	25
TCGA-22-5485-01	154	73	8	20
TCGA-22-5489-01	178	66	50	13
TCGA-22-5491-01	112	76	221	10
TCGA-22-5492-01	172	79	20	19
TCGA-22-A5C4-01	235	136	33	33
TCGA-33-4532-01	224	126	98	49
TCGA-33-4533-01	204	54	62	54
TCGA-33-4538-01	76	85	32	33
TCGA-33-4547-01	18	51	180	0
TCGA-33-4566-01	1434	57	107	40
TCGA-33-4582-01	92	88	42	28
TCGA-33-4583-01	532	112	62	37
TCGA-33-4586-01	301	106	33	18
TCGA-33-4587-01	130	51	67	39
TCGA-33-4589-01	1	54	55	28
TCGA-33-6737-01	238	30	284	11
TCGA-33-6738-01	227	83	92	22
TCGA-33-A4WN-01	78	58	110	11
TCGA-33-A5GW-01	75	44	122	8
TCGA-33-AAS8-01	151	86	32	19
TCGA-33-AASB-01	362	32	45	18
TCGA-33-AASD-01	310	81	35	30
TCGA-33-AASI-01	289	71	121	19
TCGA-33-AASJ-01	42	47	118	21
TCGA-33-AASL-01	222	56	86	17
TCGA-34-2596-01	154	65	90	22
TCGA-34-2600-01	141	88	331	11
TCGA-34-2604-01	551	129	38	42
TCGA-34-2605-01	252	70	153	3
TCGA-34-2608-01	74	62	41	14
TCGA-34-2609-01	195	84	11	15
TCGA-34-5231-01	472	201	125	36
TCGA-34-5232-01	99	103	23	30
TCGA-34-5234-01	146	52	2	21
TCGA-34-5236-01	149	59	43	18
TCGA-34-5239-01	198	66	28	17
TCGA-34-5240-01	107	48	39	24
TCGA-34-5241-01	138	62	37	20
TCGA-34-5927-01	142	98	66	18
TCGA-34-5928-01	100	91	263	2
TCGA-34-5929-01	144	42	94	0
TCGA-34-7107-01	120	111	62	29
TCGA-34-8454-01	294	13	404	0
TCGA-34-8455-01	517	44	28	25
TCGA-34-8456-01	16	16	8	9
TCGA-34-A5IX-01	184	107	40	21
TCGA-37-3783-01	99	75	324	0
TCGA-37-3789-01	131	56	179	1
TCGA-37-3792-01	856	105	123	37
TCGA-37-4129-01	0	6	0	0
TCGA-37-4130-01	1159	179	52	29
TCGA-37-4132-01	264	52	23	46
TCGA-37-4133-01	128	175	48	12
TCGA-37-4135-01	236	99	31	24
TCGA-37-4141-01	264	94	27	20
TCGA-37-5819-01	676	147	58	45
TCGA-37-A5EL-01	313	102	81	35
TCGA-37-A5EM-01	250	87	50	45
TCGA-37-A5EN-01	137	102	37	23
TCGA-39-5011-01	648	25	89	31
TCGA-39-5016-01	243	143	30	65
TCGA-39-5019-01	110	74	23	19
TCGA-39-5021-01	113	40	25	19
TCGA-39-5022-01	39	25	189	0
TCGA-39-5024-01	48	74	122	21
TCGA-39-5028-01	41	44	137	0
TCGA-39-5029-01	47	68	44	23
TCGA-39-5030-01	26	194	57	0
TCGA-39-5031-01	143	18	642	14
TCGA-39-5034-01	614	91	45	29
TCGA-39-5035-01	37	64	80	19
TCGA-39-5036-01	156	107	44	21
TCGA-39-5037-01	142	100	29	28
TCGA-39-5039-01	105	67	7	30
TCGA-39-5040-01	433	86	38	34
TCGA-43-2576-01	519	57	40	39
TCGA-43-2578-01	327	43	36	25
TCGA-43-2581-01	1010	58	32	40
TCGA-43-3394-01	101	50	16	7
TCGA-43-3920-01	150	51	120	13
TCGA-43-5668-01	630	120	35	39
TCGA-43-5670-01	25	43	102	0
TCGA-43-6143-01	232	95	58	16
TCGA-43-6647-01	112	52	25	11
TCGA-43-6770-01	127	89	48	7
TCGA-43-6771-01	186	39	14	16
TCGA-43-6773-01	9	30	18	19
TCGA-43-7656-01	281	98	26	24
TCGA-43-7657-01	75	67	15	7
TCGA-43-7658-01	126	65	27	44
TCGA-43-8115-01	114	94	33	17
TCGA-43-8116-01	242	106	97	14
TCGA-43-8118-01	503	83	192	16
TCGA-43-A474-01	274	140	36	25
TCGA-43-A475-01	176	70	41	18
TCGA-43-A56U-01	131	37	151	0
TCGA-43-A56V-01	189	43	29	15
TCGA-46-3765-01	124	58	83	27
TCGA-46-3767-01	114	25	17	11
TCGA-46-3768-01	197	65	57	33
TCGA-46-3769-01	667	92	383	4
TCGA-46-6025-01	71	79	73	10
TCGA-46-6026-01	93	85	59	27
TCGA-51-4079-01	300	80	95	35
