Samples	SBS96A
TCGA-A2-A1G0-01	0.00E+00
TCGA-A2-A1G1-01	0.00E+00
TCGA-A2-A1G6-01	0.00E+00
TCGA-A2-A259-01	0.00E+00
TCGA-A2-A25A-01	0.00E+00
TCGA-A2-A25B-01	0.00E+00
TCGA-A2-A25C-01	0.00E+00
TCGA-A2-A25D-01	0.00E+00
TCGA-A2-A25E-01	0.00E+00
TCGA-A2-A25F-01	0.00E+00
TCGA-A2-A3KD-01	0.00E+00
TCGA-A2-A3XT-01	0.00E+00
TCGA-A2-A3XU-01	0.00E+00
TCGA-A2-A3XV-01	0.00E+00
TCGA-A2-A3XW-01	0.00E+00
TCGA-A2-A3XX-01	0.00E+00
TCGA-A2-A3XZ-01	0.00E+00
TCGA-A2-A3Y0-01	0.00E+00
TCGA-A2-A4S1-01	0.00E+00
TCGA-A2-A4S2-01	0.00E+00
TCGA-A2-A4S3-01	0.00E+00
TCGA-A7-A0CE-01	0.00E+00
TCGA-A7-A0CH-01	0.00E+00
TCGA-A7-A0D9-01	0.00E+00
TCGA-A7-A0DA-01	0.00E+00
TCGA-A7-A0DB-01	0.00E+00
TCGA-A7-A13D-01	0.00E+00
TCGA-A7-A13E-01	0.00E+00
TCGA-A7-A13F-01	0.00E+00
TCGA-A7-A13G-01	0.00E+00
TCGA-A7-A26E-01	0.00E+00
TCGA-A7-A26F-01	0.00E+00
TCGA-A7-A26G-01	0.00E+00
TCGA-A7-A26H-01	0.00E+00
TCGA-A7-A26I-01	0.00E+00
TCGA-A7-A26J-01	0.00E+00
TCGA-A7-A2KD-01	0.00E+00
TCGA-A7-A3RF-01	0.00E+00
TCGA-A7-A425-01	0.00E+00
TCGA-A7-A4SC-01	0.00E+00
TCGA-A7-A4SD-01	0.00E+00
TCGA-A7-A4SE-01	0.00E+00
TCGA-A7-A56D-01	0.00E+00
TCGA-A7-A5ZV-01	0.00E+00
TCGA-A7-A5ZW-01	0.00E+00
TCGA-A7-A5ZX-01	0.00E+00
TCGA-A7-A6VV-01	0.00E+00
TCGA-A7-A6VW-01	0.00E+00
TCGA-A7-A6VX-01	0.00E+00
TCGA-A7-A6VY-01	0.00E+00
TCGA-A8-A075-01	0.00E+00
TCGA-AC-A23C-01	0.00E+00
TCGA-AC-A23E-01	0.00E+00
TCGA-AC-A23H-01	0.00E+00
TCGA-AC-A2B8-01	0.00E+00
TCGA-AC-A2BK-01	0.00E+00
TCGA-AC-A2BM-01	0.00E+00
TCGA-AC-A2FB-01	0.00E+00
TCGA-AC-A2FF-01	0.00E+00
TCGA-AC-A2FG-01	0.00E+00
TCGA-AC-A2FK-01	0.00E+00
TCGA-AC-A2FO-01	0.00E+00
TCGA-AC-A2QH-01	0.00E+00
TCGA-AC-A3HN-01	0.00E+00
TCGA-AC-A3OD-01	0.00E+00
TCGA-AC-A3QP-01	0.00E+00
TCGA-AC-A3QQ-01	0.00E+00
TCGA-AC-A3W5-01	0.00E+00
TCGA-AC-A3YI-01	0.00E+00
TCGA-AC-A3YJ-01	0.00E+00
TCGA-AC-A4ZE-01	0.00E+00
TCGA-AC-A5EH-01	0.00E+00
TCGA-AC-A5EI-01	0.00E+00
TCGA-AC-A5XS-01	0.00E+00
TCGA-AC-A5XU-01	0.00E+00
TCGA-AC-A62V-01	0.00E+00
TCGA-AC-A62X-01	0.00E+00
TCGA-AC-A62Y-01	0.00E+00
TCGA-AC-A6IV-01	0.00E+00
TCGA-AC-A6IW-01	0.00E+00
TCGA-AC-A6IX-01	0.00E+00
TCGA-AC-A6NO-01	0.00E+00
TCGA-AC-A7VB-01	0.00E+00
TCGA-AC-A7VC-01	0.00E+00
TCGA-AC-A8OP-01	0.00E+00
TCGA-AC-A8OQ-01	0.00E+00
TCGA-AC-A8OR-01	0.00E+00
TCGA-AC-A8OS-01	0.00E+00
TCGA-AN-A0XL-01	0.00E+00
TCGA-AN-A0XN-01	0.00E+00
TCGA-AN-A0XO-01	0.00E+00
TCGA-AN-A0XP-01	0.00E+00
TCGA-AN-A0XR-01	0.00E+00
TCGA-AN-A0XS-01	0.00E+00
