Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-BH-A18H-01	7	4	2	0	13	11	17
TCGA-BH-A18I-01	5	2	18	0	6	0	0
TCGA-BH-A18J-01	54	33	4	7	0	13	0
TCGA-BH-A18K-01	15	13	5	9	9	6	11
TCGA-BH-A18L-01	0	3	26	9	18	9	0
TCGA-BH-A18M-01	2	3	8	0	4	1	0
TCGA-BH-A18N-01	0	2	15	2	0	12	12
TCGA-BH-A18P-01	207	166	19	0	45	1	0
TCGA-BH-A18Q-01	2	8	0	38	1	3	55
TCGA-BH-A18R-01	5	2	1	15	7	4	8
TCGA-BH-A18S-01	0	3	3	8	10	10	3
TCGA-BH-A18T-01	6	12	9	56	0	11	8
TCGA-BH-A18U-01	58	32	27	20	0	15	26
TCGA-BH-A18V-01	25	69	0	92	51	13	0
TCGA-BH-A1EO-01	8	0	31	11	0	0	0
TCGA-BH-A1ET-01	1	0	10	11	1	7	3
TCGA-BH-A1EU-01	1	1	4	0	5	6	17
TCGA-BH-A1EV-01	33	33	22	3	32	6	0
TCGA-BH-A1EW-01	3	0	1	0	14	3	0
TCGA-BH-A1EX-01	1	0	11	2	11	6	4
TCGA-BH-A1EY-01	5	11	12	3	14	8	2
TCGA-BH-A1F0-01	0	17	8	9	54	5	2
TCGA-BH-A1F2-01	10	7	25	9	15	5	0
TCGA-BH-A1F5-01	5	0	13	2	14	0	10
TCGA-BH-A1F6-01	4	4	16	19	0	7	3
TCGA-BH-A1F8-01	87	52	15	8	19	3	8
TCGA-BH-A1FC-01	18	23	25	29	3	15	17
TCGA-BH-A1FE-01	5	1	3	2	8	1	6
TCGA-BH-A1FG-01	0	1	7	0	2	4	7
TCGA-BH-A1FH-01	3	1	11	1	8	0	9
TCGA-BH-A1FJ-01	3	0	14	0	5	0	23
TCGA-BH-A1FL-01	2	0	9	0	10	5	0
TCGA-BH-A1FM-01	13	8	24	7	10	0	0
TCGA-BH-A1FN-01	35	48	2	31	0	6	24
TCGA-BH-A1FR-01	0	1	5	8	1	2	0
TCGA-BH-A1FU-01	5	15	9	17	32	28	12
TCGA-BH-A201-01	2	0	1	1	12	11	0
TCGA-BH-A202-01	3	0	9	12	0	4	0
TCGA-BH-A203-01	16	13	41	1	0	5	23
TCGA-BH-A204-01	2	4	11	5	13	5	12
TCGA-BH-A208-01	19	23	13	7	0	0	20
TCGA-BH-A209-01	35	57	4	0	23	0	0
TCGA-BH-A28Q-01	2	2	14	4	0	2	2
TCGA-BH-A2L8-01	330	294	4	0	0	0	0
TCGA-BH-A42U-01	13	3	2	0	3	0	11
TCGA-BH-A42V-01	27	18	8	0	0	0	2
TCGA-BH-A5IZ-01	5	5	13	31	27	8	7
TCGA-BH-A5J0-01	43	13	16	0	22	8	0
TCGA-BH-A6R8-01	3	2	14	0	10	3	5
TCGA-BH-A6R9-01	0	0	6	11	8	0	0
TCGA-BH-A8FY-01	2	4	4	16	17	6	7
TCGA-BH-A8FZ-01	9	6	13	42	0	20	1
TCGA-BH-A8G0-01	1	0	6	0	6	4	0
TCGA-BH-AB28-01	7	0	17	7	0	11	1
TCGA-C8-A12K-01	13	52	8	64	6	15	15
TCGA-C8-A12L-01	3	5	10	29	0	0	42
TCGA-C8-A12M-01	1	1	26	8	22	10	14
TCGA-C8-A12N-01	0	4	12	6	0	5	0
TCGA-C8-A12O-01	3	1	25	0	14	0	6
TCGA-C8-A12P-01	58	59	24	9	38	14	0
TCGA-C8-A12Q-01	43	36	7	0	43	10	0
TCGA-C8-A12T-01	79	97	12	0	0	1	25
TCGA-C8-A12U-01	4	6	24	13	0	0	14
TCGA-C8-A12V-01	2	4	1	8	0	9	28
TCGA-C8-A12W-01	2	4	46	6	3	2	14
TCGA-C8-A12X-01	0	1	28	6	22	8	0
TCGA-C8-A12Y-01	2	2	21	1	0	19	1
TCGA-C8-A12Z-01	10	11	16	2	17	5	0
TCGA-C8-A130-01	4	5	29	0	0	6	10
TCGA-C8-A131-01	9	0	13	12	21	9	10
TCGA-C8-A132-01	10	25	8	6	0	1	34
TCGA-C8-A133-01	5	0	0	2	8	4	14
TCGA-C8-A134-01	0	8	6	61	8	11	23
TCGA-C8-A135-01	4	7	34	5	0	12	15
TCGA-C8-A137-01	11	13	11	0	27	0	0
TCGA-C8-A138-01	0	0	13	4	26	4	5
TCGA-C8-A1HE-01	23	9	7	1	0	1	13
TCGA-C8-A1HF-01	10	6	6	3	4	4	6
TCGA-C8-A1HG-01	5	3	27	8	16	10	0
TCGA-C8-A1HI-01	8	9	17	0	0	2	36
TCGA-C8-A1HJ-01	1	14	11	76	0	22	0
TCGA-C8-A1HK-01	7	26	11	5	1	5	18
TCGA-C8-A1HL-01	0	0	9	6	8	7	7
TCGA-C8-A1HM-01	112	224	17	0	90	5	0
TCGA-C8-A1HN-01	4	1	21	10	11	6	17
TCGA-C8-A1HO-01	10	4	8	6	7	4	10
TCGA-C8-A26V-01	23	34	14	6	0	8	11
TCGA-C8-A26W-01	18	12	8	0	22	6	3
TCGA-C8-A26X-01	3	2	24	21	20	5	0
TCGA-C8-A26Y-01	365	381	0	11	95	29	35
TCGA-C8-A26Z-01	2	0	21	17	9	0	0
TCGA-C8-A273-01	0	1	8	2	3	0	10
TCGA-C8-A274-01	133	94	16	18	0	20	0
TCGA-C8-A275-01	36	57	10	0	37	2	0
TCGA-C8-A278-01	9	7	13	4	1	1	18
TCGA-C8-A27A-01	7	3	9	7	9	0	5
TCGA-C8-A27B-01	7	68	6	53	16	12	0
TCGA-C8-A3M7-01	104	37	24	0	52	4	0
TCGA-C8-A3M8-01	5	9	13	8	0	11	16
TCGA-C8-A8HP-01	111	109	19	0	34	0	0
TCGA-C8-A8HQ-01	179	150	37	0	0	1	5
TCGA-C8-A8HR-01	2	2	15	19	10	12	0
TCGA-C8-A9FZ-01	1	3	14	7	0	4	0
TCGA-D8-A13Y-01	12	9	10	9	27	14	1
TCGA-D8-A13Z-01	2	15	27	51	8	0	0
TCGA-D8-A140-01	25	3	25	0	33	18	30
TCGA-D8-A141-01	0	0	7	2	3	0	9
TCGA-D8-A142-01	0	15	46	32	28	4	41
TCGA-D8-A143-01	2	2	17	30	0	1	9
TCGA-D8-A145-01	0	4	17	6	0	8	12
TCGA-D8-A146-01	6	0	12	0	13	10	0
TCGA-D8-A147-01	14	46	3	73	42	15	7
TCGA-D8-A1J8-01	280	277	109	0	128	167	0
TCGA-D8-A1J9-01	118	112	6	0	40	2	0
TCGA-D8-A1JB-01	5	4	4	17	3	5	25
TCGA-D8-A1JC-01	35	34	14	0	34	2	3
TCGA-D8-A1JD-01	11	16	7	47	0	12	29
TCGA-D8-A1JE-01	1	2	10	4	0	6	17
TCGA-D8-A1JF-01	4	3	13	5	0	10	14
TCGA-D8-A1JG-01	0	6	30	0	126	7	0
TCGA-D8-A1JH-01	2	0	3	0	0	4	15
TCGA-D8-A1JI-01	1	0	3	0	16	7	15
TCGA-D8-A1JJ-01	36	18	17	3	0	8	16
TCGA-D8-A1JK-01	16	10	0	41	67	45	70
TCGA-D8-A1JL-01	2	11	2	36	16	21	39
TCGA-D8-A1JM-01	1	2	12	1	11	0	26
TCGA-D8-A1JN-01	93	48	18	0	49	0	0
TCGA-D8-A1JP-01	0	11	0	54	40	18	12
TCGA-D8-A1JS-01	2	0	6	1	13	5	2
TCGA-D8-A1JT-01	0	0	12	5	0	0	24
TCGA-D8-A1JU-01	1	0	6	1	0	5	7
