Samples	SBS96A	SBS96B	SBS96C
TCGA-39-5024-01	56	77	132
TCGA-39-5028-01	47	26	149
TCGA-39-5029-01	51	83	48
TCGA-39-5030-01	33	200	44
TCGA-39-5031-01	147	0	670
TCGA-39-5034-01	636	93	50
TCGA-39-5035-01	42	71	87
TCGA-39-5036-01	164	120	44
TCGA-39-5037-01	149	120	30
TCGA-39-5039-01	109	89	11
TCGA-39-5040-01	448	98	45
TCGA-43-2576-01	535	70	50
TCGA-43-2578-01	338	50	43
TCGA-43-2581-01	1041	54	45
TCGA-43-3394-01	105	54	15
TCGA-43-3920-01	162	43	129
TCGA-43-5668-01	653	132	39
TCGA-43-5670-01	31	30	109
TCGA-43-6143-01	244	99	58
TCGA-43-6647-01	117	57	26
TCGA-43-6770-01	136	91	44
TCGA-43-6771-01	194	44	17
TCGA-43-6773-01	11	43	22
TCGA-43-7656-01	292	111	26
TCGA-43-7657-01	81	72	11
TCGA-43-7658-01	131	94	37
TCGA-43-8115-01	122	105	31
TCGA-43-8116-01	257	103	99
TCGA-43-8118-01	531	57	206
TCGA-43-A474-01	287	154	34
TCGA-43-A475-01	186	76	43
TCGA-43-A56U-01	147	7	165
TCGA-43-A56V-01	197	47	32
TCGA-46-3765-01	131	69	92
TCGA-46-3767-01	119	29	19
TCGA-46-3768-01	206	81	65
TCGA-46-3769-01	710	26	410
TCGA-46-6025-01	78	81	74
TCGA-46-6026-01	100	101	63
TCGA-51-4079-01	313	92	105
TCGA-51-4080-01	245	88	19
TCGA-51-4081-01	150	77	21
TCGA-51-6867-01	494	131	157
TCGA-52-7622-01	219	104	15
TCGA-52-7809-01	108	103	97
TCGA-52-7810-01	194	0	341
TCGA-52-7811-01	108	59	20
TCGA-52-7812-01	247	58	66
TCGA-56-1622-01	185	87	15
TCGA-56-5897-01	40	22	64
TCGA-56-5898-01	106	47	29
TCGA-56-6545-01	201	59	106
TCGA-56-6546-01	287	104	25
TCGA-56-7221-01	187	68	111
TCGA-56-7222-01	302	119	68
TCGA-56-7223-01	173	148	52
TCGA-56-7579-01	157	82	78
TCGA-56-7580-01	96	59	16
TCGA-56-7582-01	88	99	17
TCGA-56-7730-01	285	156	21
TCGA-56-7731-01	300	89	54
TCGA-56-7822-01	178	62	227
TCGA-56-7823-01	233	92	29
TCGA-56-8082-01	125	133	23
TCGA-56-8083-01	131	61	7
TCGA-56-8201-01	111	51	37
TCGA-56-8304-01	201	63	40
TCGA-56-8305-01	336	95	59
TCGA-56-8307-01	387	98	40
TCGA-56-8308-01	258	125	52
TCGA-56-8309-01	88	54	19
TCGA-56-8503-01	59	0	150
TCGA-56-8504-01	197	79	15
TCGA-56-8622-01	151	96	45
TCGA-56-8624-01	68	39	51
TCGA-56-8625-01	228	109	269
TCGA-56-8626-01	168	93	61
TCGA-56-8628-01	403	92	21
TCGA-56-8629-01	165	76	37
TCGA-56-A49D-01	143	114	119
TCGA-56-A4BW-01	143	39	108
TCGA-56-A4BY-01	103	70	15
TCGA-56-A4ZJ-01	93	35	16
TCGA-56-A4ZK-01	150	88	58
TCGA-56-A5DS-01	102	81	80
TCGA-56-A62T-01	460	119	51
TCGA-58-8386-01	163	109	42
TCGA-58-8387-01	69	70	95
TCGA-58-8388-01	137	67	22
TCGA-58-8391-01	249	154	26
TCGA-58-8393-01	13	0	328
TCGA-58-A46J-01	126	59	32
TCGA-58-A46K-01	35	34	126
TCGA-58-A46L-01	171	61	48
TCGA-58-A46M-01	265	183	84
TCGA-58-A46N-01	146	93	25
TCGA-60-2695-01	150	89	33
TCGA-60-2697-01	11	3	0
TCGA-60-2698-01	354	0	1041
TCGA-60-2703-01	211	78	77
TCGA-60-2704-01	90	112	50
TCGA-60-2707-01	56	33	52
TCGA-60-2708-01	101	102	55
TCGA-60-2709-01	129	57	25
TCGA-60-2710-01	115	119	20
TCGA-60-2711-01	82	52	23
TCGA-60-2712-01	45	41	26
TCGA-60-2713-01	157	100	67
TCGA-60-2714-01	811	152	137
TCGA-60-2715-01	45	94	21
TCGA-60-2716-01	0	21	1
TCGA-60-2719-01	123	134	23
TCGA-60-2720-01	305	4	215
TCGA-60-2721-01	42	41	187
TCGA-60-2722-01	190	106	96
TCGA-60-2723-01	235	97	22
