Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-D8-A1JL-01	13	6	80	28
TCGA-D8-A1JM-01	0	27	26	0
TCGA-D8-A1JN-01	141	67	0	0
TCGA-D8-A1JP-01	16	0	99	20
TCGA-D8-A1JS-01	1	13	9	6
TCGA-D8-A1JT-01	0	17	16	8
TCGA-D8-A1JU-01	0	8	4	8
TCGA-D8-A1X5-01	6	21	21	18
TCGA-D8-A1X6-01	0	21	10	11
TCGA-D8-A1X7-01	2	17	13	0
TCGA-D8-A1X9-01	9	0	68	25
TCGA-D8-A1XA-01	0	15	7	6
TCGA-D8-A1XB-01	6	27	3	14
TCGA-D8-A1XC-01	0	18	7	9
TCGA-D8-A1XF-01	1	35	9	6
TCGA-D8-A1XG-01	2	1	10	14
TCGA-D8-A1XK-01	11	0	148	1141
TCGA-D8-A1XL-01	9	10	67	24
TCGA-D8-A1XM-01	23	41	0	0
TCGA-D8-A1XO-01	9	7	8	5
TCGA-D8-A1XQ-01	38	96	225	672
TCGA-D8-A1XR-01	2	9	0	21
TCGA-D8-A1XS-01	5	18	3	0
TCGA-D8-A1XT-01	3	25	13	4
TCGA-D8-A1XU-01	12	13	8	2
TCGA-D8-A1XV-01	1	19	9	7
TCGA-D8-A1XW-01	16	14	70	22
TCGA-D8-A1XY-01	3	40	4	12
TCGA-D8-A1XZ-01	3	52	19	22
TCGA-D8-A1Y0-01	14	9	44	14
TCGA-D8-A1Y1-01	0	154	0	79
TCGA-D8-A1Y2-01	9	11	0	2
TCGA-D8-A1Y3-01	0	41	11	15
TCGA-D8-A27E-01	1	4	6	0
TCGA-D8-A27F-01	12	0	46	12
TCGA-D8-A27G-01	1104	72	0	0
TCGA-D8-A27H-01	56	0	84	20
TCGA-D8-A27I-01	7	12	9	8
TCGA-D8-A27K-01	0	10	5	6
TCGA-D8-A27L-01	23	30	0	0
TCGA-D8-A27M-01	13	10	57	10
TCGA-D8-A27N-01	0	35	13	12
TCGA-D8-A27P-01	1	11	5	13
TCGA-D8-A27R-01	4	11	18	2
TCGA-D8-A27T-01	2	20	0	9
TCGA-D8-A27V-01	175	36	24	0
TCGA-D8-A27W-01	0	38	0	17
TCGA-D8-A3Z6-01	6	13	6	12
TCGA-D8-A4Z1-01	30	16	0	0
TCGA-D8-A73U-01	152	55	0	0
TCGA-D8-A73W-01	1	24	6	21
TCGA-D8-A73X-01	4	29	3	16
TCGA-E2-A105-01	7	26	18	16
TCGA-E2-A107-01	6	20	4	6
TCGA-E2-A108-01	131	0	35	20
TCGA-E2-A109-01	0	30	37	17
TCGA-E2-A10A-01	9	6	7	6
TCGA-E2-A10B-01	33	17	9	14
TCGA-E2-A10C-01	463	56	0	0
TCGA-E2-A10F-01	3	21	0	6
TCGA-E2-A14N-01	22	15	64	8
TCGA-E2-A14O-01	0	31	5	0
TCGA-E2-A14P-01	26	58	18	10
TCGA-E2-A14Q-01	3	21	10	6
TCGA-E2-A14R-01	18	6	89	30
TCGA-E2-A14T-01	7	17	5	14
TCGA-E2-A14V-01	58	43	25	15
TCGA-E2-A14W-01	13	11	69	9
TCGA-E2-A14X-01	3	27	0	7
TCGA-E2-A14Y-01	28	7	5	10
TCGA-E2-A14Z-01	30	34	31	0
TCGA-E2-A150-01	4	24	39	24
TCGA-E2-A152-01	123	35	13	0
TCGA-E2-A153-01	4	19	0	3
TCGA-E2-A154-01	0	32	21	5
TCGA-E2-A155-01	13	31	24	13
TCGA-E2-A156-01	5	9	7	4
TCGA-E2-A158-01	3	10	67	17
TCGA-E2-A159-01	150	11	24	16
TCGA-E2-A15A-01	3	18	30	11
TCGA-E2-A15C-01	0	27	9	14
TCGA-E2-A15D-01	0	13	3	18
TCGA-E2-A15E-01	4	8	11	17
TCGA-E2-A15F-01	0	16	7	5
TCGA-E2-A15G-01	4	38	27	4
TCGA-E2-A15H-01	0	18	5	10
TCGA-E2-A15I-01	1	31	10	1
