Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-BH-A0WA-01	13	6	7	54	20	13	0
TCGA-BH-A18F-01	19	1	13	0	9	0	25
TCGA-BH-A18G-01	8	8	513	71	32	1036	0
TCGA-BH-A18H-01	7	4	2	0	16	11	14
TCGA-BH-A18I-01	5	2	19	0	5	0	0
TCGA-BH-A18J-01	54	32	5	7	0	13	0
TCGA-BH-A18K-01	16	13	6	13	14	6	0
TCGA-BH-A18L-01	0	3	27	7	19	9	0
TCGA-BH-A18M-01	2	3	7	0	5	1	0
TCGA-BH-A18N-01	0	2	16	1	0	13	11
TCGA-BH-A18P-01	205	163	21	0	48	1	0
TCGA-BH-A18Q-01	1	8	0	43	10	6	39
TCGA-BH-A18R-01	5	2	1	14	9	4	7
TCGA-BH-A18S-01	0	3	3	9	10	12	0
TCGA-BH-A18T-01	6	12	9	56	4	12	3
TCGA-BH-A18U-01	56	32	27	21	0	16	26
TCGA-BH-A18V-01	26	71	0	89	51	13	0
TCGA-BH-A1EO-01	7	0	31	11	0	0	1
TCGA-BH-A1ET-01	1	0	10	13	0	7	2
TCGA-BH-A1EU-01	2	1	3	0	0	6	22
TCGA-BH-A1EV-01	33	35	23	1	31	6	0
TCGA-BH-A1EW-01	3	0	2	0	13	3	0
TCGA-BH-A1EX-01	1	0	11	4	5	5	9
TCGA-BH-A1EY-01	5	11	11	2	12	8	6
TCGA-BH-A1F0-01	0	17	10	11	51	4	2
TCGA-BH-A1F2-01	10	7	26	9	14	5	0
TCGA-BH-A1F5-01	5	0	13	3	8	0	15
TCGA-BH-A1F6-01	4	4	17	18	2	8	0
TCGA-BH-A1F8-01	88	51	16	6	13	2	16
TCGA-BH-A1FC-01	18	23	23	27	0	15	24
TCGA-BH-A1FE-01	5	1	3	3	7	1	6
TCGA-BH-A1FG-01	0	1	7	1	2	4	6
TCGA-BH-A1FH-01	4	1	9	0	4	0	15
TCGA-BH-A1FJ-01	3	0	13	0	1	0	28
TCGA-BH-A1FL-01	2	0	9	0	11	4	0
TCGA-BH-A1FM-01	13	8	22	4	4	0	11
TCGA-BH-A1FN-01	36	46	4	43	0	8	9
TCGA-BH-A1FR-01	0	1	6	7	1	2	0
TCGA-BH-A1FU-01	5	15	10	20	30	28	10
TCGA-BH-A201-01	3	0	2	2	10	10	0
TCGA-BH-A202-01	3	0	9	12	0	4	0
TCGA-BH-A203-01	16	13	38	0	0	6	26
