Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O
TCGA-EE-A185-06	74	84	0	1	35	27	0	7	4	0	0	0	31	0	5
TCGA-EE-A20B-06	76	87	9	0	28	27	1	0	0	7	2	7	0	0	0
TCGA-EE-A20C-06	885	911	0	0	311	299	5	26	0	0	211	0	173	23	27
TCGA-EE-A20F-06	211	185	0	0	99	83	4	0	0	0	64	0	0	0	5
TCGA-EE-A20H-06	257	176	0	0	83	95	6	1	0	0	102	0	82	5	6
TCGA-EE-A20I-06	0	2	0	6	2	2	1	5	2	0	8	0	0	0	2
TCGA-EE-A29A-06	114	107	0	1	38	25	0	1	4	0	64	0	0	0	0
TCGA-EE-A29B-06	260	205	0	0	125	65	4	0	0	4	84	0	0	1	1
TCGA-EE-A29C-06	154	175	0	0	54	83	5	0	0	0	62	0	40	0	0
TCGA-EE-A29D-06	1867	1750	0	0	622	684	0	0	0	0	73	0	242	0	6
TCGA-EE-A29E-06	1657	1304	0	0	814	560	0	0	0	0	554	0	0	0	0
TCGA-EE-A29G-06	138	107	0	0	63	64	1	0	0	14	18	5	62	1	1
TCGA-EE-A29H-06	140	111	0	2	51	54	3	1	0	0	0	0	51	1	4
TCGA-EE-A29L-06	892	821	0	0	415	325	16	7	0	0	100	0	151	33	0
TCGA-EE-A29M-06	1137	821	0	0	463	336	0	0	0	0	425	0	60	0	5
TCGA-EE-A29N-06	237	270	0	0	76	92	0	20	1	0	101	0	41	6	3
TCGA-EE-A29P-06	150	124	0	0	37	30	7	4	0	0	0	0	57	1	0
TCGA-EE-A29Q-06	114	110	0	0	49	61	6	0	0	0	37	0	29	0	3
TCGA-EE-A29R-06	296	247	0	0	123	106	5	0	0	0	62	0	87	0	8
TCGA-EE-A29S-06	486	404	0	0	184	189	3	0	0	1	165	0	66	0	0
TCGA-EE-A29T-06	159	110	19	21	70	75	23	20	3	3	0	6	4	0	0
TCGA-EE-A29V-06	433	510	0	0	131	106	10	11	0	0	76	0	129	0	6
TCGA-EE-A29W-06	19	23	0	3	9	10	2	5	0	0	2	0	17	2	1
TCGA-EE-A29X-06	64	62	0	1	24	17	3	0	0	0	33	0	0	1	0
TCGA-EE-A2A0-06	209	103	0	0	68	50	7	2	1	0	51	2	38	0	2
TCGA-EE-A2A1-06	165	120	0	0	55	75	0	6	0	0	73	0	35	0	0
TCGA-EE-A2A2-06	666	650	0	2	210	127	3	38	0	0	190	0	153	17	18
TCGA-EE-A2A5-06	113	141	0	0	57	44	1	0	0	0	0	0	82	0	0
TCGA-EE-A2A6-06	106	120	0	0	62	76	4	0	0	0	0	0	49	0	0
TCGA-EE-A2GB-06	301	292	0	0	111	118	1	0	0	0	0	0	75	4	9
TCGA-EE-A2GC-06	1046	1021	0	0	417	389	0	0	0	0	40	0	303	2	16
TCGA-EE-A2GD-06	266	182	0	0	107	100	4	1	0	0	74	0	6	2	2
TCGA-EE-A2GE-06	92	102	0	0	33	21	4	0	0	0	58	0	16	0	0
TCGA-EE-A2GH-06	141	129	0	3	61	45	6	1	1	0	10	0	24	0	5
TCGA-EE-A2GI-06	677	590	0	0	268	249	8	5	0	0	193	0	151	0	1
TCGA-EE-A2GJ-06	521	387	0	0	183	187	8	0	0	0	258	0	53	11	2
TCGA-EE-A2GK-06	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2
TCGA-EE-A2GL-06	162	180	5	0	43	63	1	0	1	3	0	0	27	11	1
TCGA-EE-A2GM-06	305	290	0	0	118	100	6	5	0	0	57	0	88	0	5
TCGA-EE-A2GN-06	163	177	0	5	67	49	5	0	1	0	0	0	100	0	2
TCGA-EE-A2GO-06	941	952	0	0	283	344	12	13	0	0	40	0	161	25	10
TCGA-EE-A2GP-06	309	245	0	1	112	115	3	16	0	0	61	0	0	0	2
TCGA-EE-A2GR-06	643	759	0	0	248	218	0	24	0	0	173	0	133	5	12
TCGA-EE-A2GS-06	142	132	0	0	64	53	0	6	0	0	0	0	71	0	0
TCGA-EE-A2GT-06	169	95	0	0	43	50	1	27	6	0	64	1	0	1	5
TCGA-EE-A2GU-06	316	233	0	0	115	84	8	0	0	0	0	0	66	6	0
TCGA-EE-A2M5-06	774	910	0	0	277	304	0	0	0	0	265	0	198	21	16
TCGA-EE-A2M6-06	254	208	0	0	82	72	11	0	1	0	42	0	62	7	7
TCGA-EE-A2M7-06	11	11	0	20	8	12	1	7	4	2	0	3	5	2	0
TCGA-EE-A2M8-06	45	21	0	0	25	31	0	4	1	3	21	0	0	0	0
TCGA-EE-A2MC-06	332	234	0	0	102	189	0	0	1	0	0	0	167	2	3
TCGA-EE-A2MD-06	748	626	0	0	320	380	0	0	0	0	171	0	73	0	13
TCGA-EE-A2ME-06	10	7	0	1	3	7	0	2	0	0	9	2	1	0	0
TCGA-EE-A2MF-06	365	204	0	0	154	117	6	0	0	5	24	0	138	17	2
TCGA-EE-A2MG-06	101	62	0	2	28	22	0	8	0	0	43	0	11	0	0
TCGA-EE-A2MH-06	56	75	0	0	16	24	6	2	0	0	0	2	18	2	0
TCGA-EE-A2MI-06	540	388	0	0	198	165	4	3	0	0	2	0	188	0	0
TCGA-EE-A2MJ-06	930	700	0	0	376	390	0	0	0	0	160	0	79	4	13
TCGA-EE-A2MK-06	114	89	0	0	69	43	2	0	0	0	31	0	53	0	3
TCGA-EE-A2ML-06	198	247	0	0	75	85	2	0	0	0	28	0	123	0	0
TCGA-EE-A2MM-06	265	212	0	5	83	122	10	1	0	0	0	0	59	0	4
TCGA-EE-A2MN-06	52	56	0	0	31	23	1	1	0	0	39	2	0	0	0
TCGA-EE-A2MP-06	104	117	0	0	34	51	7	1	0	0	67	0	9	0	3
TCGA-EE-A2MQ-06	97	109	0	7	33	59	0	4	4	0	44	3	0	4	1
TCGA-EE-A2MR-06	1392	1161	0	0	789	1156	0	0	0	0	563	0	0	0	0
TCGA-EE-A2MS-06	1193	1409	0	0	512	470	0	0	0	0	191	0	206	0	1
TCGA-EE-A2MT-06	414	395	0	0	136	146	0	11	0	0	33	0	120	0	4
TCGA-EE-A2MU-06	286	268	0	0	130	120	2	0	0	0	18	0	50	36	0
TCGA-EE-A3AA-06	656	563	0	0	319	280	0	0	0	0	215	0	0	0	17
TCGA-EE-A3AB-06	189	168	0	0	38	31	0	1	7	300	106	19	25	22	3
TCGA-EE-A3AC-06	459	404	0	0	191	139	3	7	0	0	166	0	0	4	12
TCGA-EE-A3AD-06	174	179	0	0	67	70	5	1	0	1	3	0	93	0	3
TCGA-EE-A3AE-06	696	575	0	0	331	260	0	4	0	0	91	0	53	3	0
TCGA-EE-A3AF-06	440	492	0	1	109	97	11	20	6	0	72	0	106	3	4
TCGA-EE-A3AG-06	749	770	0	0	265	259	4	0	0	0	135	0	126	0	4
TCGA-EE-A3AH-06	164	149	0	0	58	59	6	0	0	0	22	0	48	2	0
TCGA-EE-A3J3-06	50	71	3	0	19	38	11	12	6	0	0	4	13	0	0
TCGA-EE-A3J4-06	107	91	0	0	57	23	9	24	0	0	88	0	0	11	8
TCGA-EE-A3J5-06	1052	835	0	0	330	311	0	18	0	18	219	0	121	9	27
TCGA-EE-A3J7-06	341	484	0	12	133	131	28	22	0	0	89	0	86	7	17
TCGA-EE-A3J8-06	131	83	0	0	59	42	4	0	1	0	42	0	2	0	7
TCGA-EE-A3JA-06	528	362	0	0	208	172	0	14	0	0	133	0	18	0	0
TCGA-EE-A3JB-06	231	278	0	1	98	65	11	5	1	0	139	0	0	7	23
TCGA-EE-A3JD-06	913	788	0	0	369	553	0	0	0	0	211	0	268	0	0
TCGA-EE-A3JE-06	94	111	0	0	32	53	5	0	0	0	51	8	14	0	1
TCGA-EE-A3JH-06	61	64	0	0	29	23	5	15	0	0	33	0	15	0	0
TCGA-EE-A3JI-06	438	434	0	7	179	118	14	19	2	0	245	0	68	0	12
TCGA-ER-A193-06	860	665	0	0	311	321	0	20	0	0	247	0	173	15	7
TCGA-ER-A194-01	630	641	0	0	214	211	5	2	0	0	101	0	53	0	9
TCGA-ER-A195-06	122	108	0	0	49	50	1	2	0	1	12	1	0	0	2
TCGA-ER-A196-01	0	3	0	1	1	3	9	0	0	3	0	5	0	0	0
TCGA-ER-A197-06	1	0	2	2	0	0	0	13	1	11	3	11	6	1	1
TCGA-ER-A198-06	189	217	0	3	70	67	3	18	0	0	31	0	54	0	0
TCGA-ER-A199-06	114	105	0	0	48	50	1	0	0	0	29	0	25	0	0
TCGA-ER-A19A-06	77	41	0	0	28	48	2	0	0	0	52	0	0	0	0
TCGA-ER-A19B-06	12	13	0	0	9	15	1	4	2	50	10	13	0	1	1
TCGA-ER-A19C-06	32	30	0	3	21	5	4	0	0	0	11	2	12	2	0
TCGA-ER-A19D-06	182	162	0	0	60	94	3	13	1	0	103	0	24	0	0
TCGA-ER-A19E-06	168	151	8	4	74	90	9	8	5	11	4	12	66	0	7
TCGA-ER-A19F-06	421	375	0	0	142	156	0	0	0	0	61	0	145	0	13
TCGA-ER-A19G-06	213	233	0	1	70	81	8	4	0	6	39	0	28	9	6
