Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS7a	SBS7b	SBS13	SBS15	SBS54
TCGA-62-A46U-01	8	0	30	0	2	0	0	0	12	0
TCGA-62-A46V-01	19	0	0	0	52	0	0	0	0	0
TCGA-62-A46Y-01	14	0	21	0	4	0	0	0	0	0
TCGA-62-A470-01	26	0	0	59	62	0	0	0	0	0
TCGA-62-A471-01	11	35	0	0	72	0	0	30	0	0
TCGA-62-A472-01	10	0	50	0	0	12	0	0	0	0
TCGA-64-1676-01	32	0	0	592	116	0	0	0	0	0
TCGA-64-1679-01	19	0	0	471	124	0	0	0	0	0
TCGA-64-1680-01	18	12	0	0	31	0	0	15	0	0
TCGA-64-1681-01	9	13	58	0	11	0	0	15	0	0
TCGA-64-5774-01	9	0	0	122	27	0	0	0	18	0
TCGA-64-5775-01	28	0	0	470	91	0	0	0	0	0
TCGA-64-5778-01	22	0	0	423	134	0	0	0	0	0
TCGA-64-5779-01	7	0	0	345	39	0	0	0	46	0
TCGA-64-5781-01	41	95	0	989	223	0	0	57	0	0
TCGA-64-5815-01	18	0	0	148	47	0	0	0	0	0
TCGA-67-3770-01	14	0	0	180	79	0	0	0	0	0
TCGA-67-3771-01	45	148	0	588	253	0	96	190	0	0
TCGA-67-3773-01	11	0	0	79	23	12	0	0	0	0
TCGA-67-3774-01	3	0	0	70	77	0	0	0	0	0
TCGA-67-4679-01	14	0	0	249	89	0	0	0	0	0
TCGA-67-6215-01	1	0	0	0	136	0	0	0	0	0
TCGA-67-6216-01	3	0	0	0	12	13	0	10	7	0
TCGA-67-6217-01	9	0	0	148	44	15	0	0	18	0
TCGA-69-7760-01	10	0	0	0	62	0	0	0	16	0
TCGA-69-7761-01	5	0	27	0	4	0	0	0	0	0
TCGA-69-7763-01	10	0	0	36	25	0	0	0	29	0
TCGA-69-7764-01	4	0	0	40	56	0	0	0	16	0
TCGA-69-7765-01	10	40	0	533	138	0	0	26	0	0
TCGA-69-7973-01	20	0	0	250	39	0	0	0	0	0
TCGA-69-7974-01	29	0	0	444	167	0	0	0	0	0
TCGA-69-7978-01	33	77	0	411	125	0	0	120	0	0
TCGA-69-7979-01	58	0	0	1544	198	0	0	0	0	0
TCGA-69-7980-01	29	65	0	557	200	0	0	120	0	0
TCGA-69-8253-01	13	18	0	121	45	0	0	12	0	0
TCGA-69-8254-01	19	0	60	0	18	0	0	0	0	0
TCGA-69-8255-01	23	27	0	161	137	0	0	17	0	0
TCGA-69-A59K-01	45	29	0	507	38	0	0	18	0	0
TCGA-71-6725-01	21	0	0	0	21	12	0	0	19	0
TCGA-71-8520-01	14	8	0	0	45	0	0	13	25	0
TCGA-73-4658-01	27	89	0	180	90	0	0	62	0	0
TCGA-73-4659-01	15	0	0	174	73	0	0	0	0	0
TCGA-73-4662-01	14	0	0	173	81	0	0	0	0	0
TCGA-73-4666-01	21	0	0	329	121	0	0	0	0	0
TCGA-73-4668-01	20	0	0	473	136	0	0	0	0	0
TCGA-73-4670-01	16	0	0	256	169	0	0	0	0	0
TCGA-73-4675-01	10	0	0	0	74	0	0	0	0	0
TCGA-73-4676-01	13	0	0	36	39	7	0	0	0	17
TCGA-73-4677-01	16	0	0	209	79	0	0	0	0	0
TCGA-73-7498-01	8	0	0	81	39	0	0	0	11	0
TCGA-73-7499-01	15	5	0	0	48	0	0	15	0	0
TCGA-73-A9RS-01	22	0	0	982	168	0	0	0	0	0
TCGA-75-5122-01	22	0	0	65	37	26	0	17	0	0
TCGA-75-5125-01	17	17	0	73	79	0	0	24	0	0
TCGA-75-5126-01	23	88	0	443	130	0	0	97	0	0
TCGA-75-5146-01	5	0	0	179	55	0	0	0	0	0
TCGA-75-5147-01	12	5	0	0	23	0	0	7	0	0
TCGA-75-6203-01	9	0	0	0	10	0	0	0	0	0
TCGA-75-6205-01	7	7	46	0	0	0	0	0	0	0
TCGA-75-6206-01	3	0	96	0	10	0	0	0	0	0
TCGA-75-6207-01	6	0	0	0	39	13	0	11	15	0
TCGA-75-6211-01	18	0	0	299	125	0	0	0	0	0
TCGA-75-6212-01	5	0	0	0	11	5	0	0	0	0
TCGA-75-6214-01	33	90	0	497	180	0	0	99	0	0
TCGA-75-7025-01	7	6	0	0	13	0	0	0	12	0
TCGA-75-7027-01	13	0	0	212	78	0	0	0	0	0
TCGA-75-7030-01	7	0	0	0	11	0	0	0	0	0
TCGA-75-7031-01	22	0	0	115	101	0	0	21	0	0
TCGA-78-7145-01	15	0	0	157	65	0	0	0	0	0
TCGA-78-7146-01	32	57	0	229	86	0	0	60	0	0
TCGA-78-7147-01	29	30	0	203	144	0	0	21	0	0
TCGA-78-7148-01	15	0	0	154	105	0	0	0	0	0
TCGA-78-7149-01	12	34	0	41	42	24	0	47	0	0
TCGA-78-7150-01	26	75	0	153	177	0	0	78	0	0
TCGA-78-7152-01	12	38	0	80	45	0	28	52	0	0
TCGA-78-7153-01	23	6	0	37	65	10	0	15	0	0
TCGA-78-7154-01	40	59	0	0	165	0	0	64	0	0
TCGA-78-7155-01	40	0	0	1356	442	0	0	0	0	0
TCGA-78-7156-01	23	63	0	168	35	56	0	72	0	0
TCGA-78-7158-01	16	28	0	160	64	0	0	16	0	0
TCGA-78-7159-01	23	0	0	277	80	0	0	0	0	0
TCGA-78-7160-01	7	0	50	0	0	0	0	0	0	0
TCGA-78-7161-01	18	0	0	145	73	0	0	0	0	0
TCGA-78-7162-01	6	9	0	31	47	0	0	8	0	0
TCGA-78-7163-01	8	0	0	0	19	0	0	0	0	0
TCGA-78-7166-01	8	0	0	215	52	0	0	0	0	0
TCGA-78-7167-01	18	19	0	61	35	0	0	21	0	0
TCGA-78-7220-01	25	66	0	675	149	0	79	52	0	0
TCGA-78-7535-01	10	0	0	112	98	0	0	0	0	0
TCGA-78-7536-01	29	0	0	524	185	0	0	0	0	0
TCGA-78-7537-01	7	14	0	96	52	0	0	0	0	0
TCGA-78-7539-01	36	108	0	130	139	0	0	192	0	0
TCGA-78-7540-01	17	0	0	0	19	0	0	0	0	0
TCGA-78-7542-01	24	31	0	364	58	0	0	0	0	0
TCGA-78-7633-01	8	0	0	86	41	0	0	0	0	0
TCGA-78-8640-01	44	63	0	496	239	0	0	72	0	0
TCGA-78-8648-01	0	0	0	10	0	0	0	0	6	0
TCGA-78-8655-01	16	0	0	73	27	0	16	0	0	0
TCGA-78-8660-01	13	24	0	134	113	0	0	20	0	0
TCGA-78-8662-01	38	0	0	1007	395	0	0	0	0	0
TCGA-80-5607-01	6	61	0	0	35	0	0	56	0	0
TCGA-80-5608-01	18	0	0	136	45	0	0	0	0	0
TCGA-80-5611-01	9	0	0	85	153	0	0	0	0	0
TCGA-83-5908-01	15	35	0	134	50	0	0	61	0	0
TCGA-86-6562-01	12	8	30	0	10	0	0	14	0	0
TCGA-86-6851-01	16	32	0	762	188	0	0	96	0	0
TCGA-86-7701-01	17	0	0	151	80	0	0	0	0	0
TCGA-86-7711-01	18	25	0	119	81	0	0	29	0	0
TCGA-86-7713-01	13	0	0	138	0	0	35	0	0	0
TCGA-86-7714-01	7	0	0	36	48	0	0	0	0	0
TCGA-86-7953-01	7	5	53	0	0	0	0	0	0	0
TCGA-86-7954-01	27	22	0	124	91	0	0	26	0	0
TCGA-86-7955-01	16	0	0	196	165	0	0	0	0	0
TCGA-86-8054-01	15	0	0	177	83	0	0	0	0	0
TCGA-86-8055-01	16	0	35	0	12	0	0	0	0	0
TCGA-86-8056-01	23	91	0	79	72	0	0	75	0	0
TCGA-86-8073-01	38	0	0	1501	306	0	0	0	0	0
TCGA-86-8074-01	9	0	49	0	21	0	0	0	0	0
TCGA-86-8075-01	18	0	0	0	44	0	0	0	0	0
TCGA-86-8076-01	17	9	0	23	20	0	0	15	0	0
TCGA-86-8278-01	15	50	0	0	31	0	0	48	0	0
TCGA-86-8279-01	21	0	0	484	131	0	0	0	0	0
TCGA-86-8280-01	3	0	0	0	26	0	15	0	11	0
TCGA-86-8281-01	9	0	0	231	0	28	0	28	41	0
TCGA-86-8358-01	59	0	0	1017	300	0	0	0	0	0
TCGA-86-8359-01	13	0	0	139	48	0	0	0	0	0
TCGA-86-8585-01	20	40	0	421	151	0	0	78	0	0
TCGA-86-8668-01	17	0	0	0	28	0	0	0	0	0
TCGA-86-8669-01	20	0	0	73	77	0	0	0	0	0
TCGA-86-8671-01	10	4	0	0	17	0	8	8	0	0
TCGA-86-8672-01	24	28	0	228	77	0	0	19	0	0
TCGA-86-8673-01	15	26	0	383	160	0	0	21	0	0
TCGA-86-8674-01	14	34	0	334	0	0	0	0	0	0
TCGA-86-A456-01	10	22	0	323	97	0	0	0	0	0
TCGA-86-A4JF-01	151	0	0	0	1080	0	0	0	415	0
TCGA-86-A4P7-01	11	11	33	0	14	0	0	15	0	0
TCGA-86-A4P8-01	0	0	0	0	1	0	1	0	0	0
TCGA-91-6828-01	16	0	0	229	91	0	0	0	0	0
TCGA-91-6829-01	17	0	0	491	297	0	0	0	0	0
TCGA-91-6830-01	9	105	0	0	74	0	0	127	0	0
TCGA-91-6831-01	12	0	0	181	147	0	0	0	0	0
TCGA-91-6835-01	10	8	0	35	49	0	0	11	0	0
TCGA-91-6836-01	23	0	0	414	142	0	0	0	0	0
TCGA-91-6840-01	16	31	0	0	49	0	0	46	0	0
TCGA-91-6847-01	25	0	44	0	36	0	0	0	0	0
TCGA-91-6848-01	16	37	0	395	230	0	0	63	0	0
TCGA-91-6849-01	6	0	0	88	47	0	0	0	0	0
TCGA-91-7771-01	8	0	0	113	101	29	0	0	0	0
TCGA-91-8496-01	12	0	0	0	29	0	0	0	0	0
TCGA-91-8497-01	13	0	0	14	15	14	0	0	0	0
TCGA-91-8499-01	25	52	0	164	100	0	0	54	0	0
TCGA-91-A4BC-01	28	0	0	421	114	0	0	0	0	0
TCGA-91-A4BD-01	5	4	0	0	9	0	0	0	9	0
TCGA-93-7347-01	6	0	0	92	45	0	0	0	0	0
TCGA-93-7348-01	11	0	0	56	29	19	0	0	18	0
TCGA-93-8067-01	38	247	0	0	142	0	0	247	0	0
TCGA-93-A4JN-01	16	10	0	0	67	0	0	5	0	0
TCGA-93-A4JO-01	5	0	0	0	49	0	0	11	0	0
TCGA-93-A4JP-01	7	20	0	0	33	0	0	10	12	0
TCGA-93-A4JQ-01	6	19	0	0	80	0	0	40	0	0
TCGA-95-7039-01	41	0	0	1148	353	0	0	0	0	0
TCGA-95-7043-01	51	0	0	1060	208	0	0	0	0	0
TCGA-95-7562-01	25	0	0	395	41	0	0	0	0	0
