Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-C8-A26X-01	3	31	36	5
TCGA-C8-A26Y-01	740	129	7	40
TCGA-C8-A26Z-01	0	16	32	1
TCGA-C8-A273-01	0	10	12	2
TCGA-C8-A274-01	226	5	21	29
TCGA-C8-A275-01	100	17	19	6
TCGA-C8-A278-01	14	13	22	4
TCGA-C8-A27A-01	9	15	16	0
TCGA-C8-A27B-01	68	79	0	15
TCGA-C8-A3M7-01	149	0	72	0
TCGA-C8-A3M8-01	12	15	15	20
TCGA-C8-A8HP-01	231	0	41	1
TCGA-C8-A8HQ-01	310	0	62	0
TCGA-C8-A8HR-01	3	22	20	15
TCGA-C8-A9FZ-01	3	3	14	9
TCGA-D8-A13Y-01	23	25	20	14
TCGA-D8-A13Z-01	12	54	30	7
TCGA-D8-A140-01	29	27	55	23
TCGA-D8-A141-01	0	8	13	0
TCGA-D8-A142-01	8	72	70	16
TCGA-D8-A143-01	1	33	21	6
TCGA-D8-A145-01	1	13	18	15
TCGA-D8-A146-01	5	0	24	12
TCGA-D8-A147-01	62	114	1	23
TCGA-D8-A1J8-01	566	42	124	229
TCGA-D8-A1J9-01	236	17	25	0
TCGA-D8-A1JB-01	7	39	10	7
TCGA-D8-A1JC-01	75	13	34	0
TCGA-D8-A1JD-01	24	68	7	23
TCGA-D8-A1JE-01	1	14	13	12
TCGA-D8-A1JF-01	5	10	16	18
TCGA-D8-A1JG-01	14	80	74	1
TCGA-D8-A1JH-01	2	8	7	7
TCGA-D8-A1JI-01	2	16	14	10
TCGA-D8-A1JJ-01	54	1	33	10
TCGA-D8-A1JK-01	32	145	19	53
TCGA-D8-A1JL-01	13	78	8	28
TCGA-D8-A1JM-01	1	26	26	0
TCGA-D8-A1JN-01	151	0	57	0
TCGA-D8-A1JP-01	16	98	0	21
TCGA-D8-A1JS-01	2	9	13	5
TCGA-D8-A1JT-01	0	17	18	6
TCGA-D8-A1JU-01	0	4	9	7
TCGA-D8-A1X5-01	6	21	23	16
TCGA-D8-A1X6-01	0	10	23	9
TCGA-D8-A1X7-01	3	13	16	0
TCGA-D8-A1X9-01	8	69	0	25
TCGA-D8-A1XA-01	0	7	15	6
TCGA-D8-A1XB-01	8	2	27	13
TCGA-D8-A1XC-01	0	7	19	8
TCGA-D8-A1XF-01	2	8	36	5
TCGA-D8-A1XG-01	2	10	1	14
TCGA-D8-A1XK-01	11	126	0	1163
TCGA-D8-A1XL-01	9	66	11	24
TCGA-D8-A1XM-01	26	0	38	0
TCGA-D8-A1XO-01	10	8	7	4
TCGA-D8-A1XQ-01	37	217	134	643
TCGA-D8-A1XR-01	3	0	10	19
TCGA-D8-A1XS-01	6	3	17	0
TCGA-D8-A1XT-01	4	13	25	3
TCGA-D8-A1XU-01	14	8	11	2
TCGA-D8-A1XV-01	2	9	20	5
TCGA-D8-A1XW-01	16	71	15	20
TCGA-D8-A1XY-01	5	4	41	9
TCGA-D8-A1XZ-01	5	19	57	15
TCGA-D8-A1Y0-01	14	44	10	13
TCGA-D8-A1Y1-01	0	0	173	60
TCGA-D8-A1Y2-01	9	0	11	2
TCGA-D8-A1Y3-01	0	11	46	10
TCGA-D8-A27E-01	1	6	4	0
TCGA-D8-A27F-01	11	47	0	12
TCGA-D8-A27G-01	1137	1	38	0
TCGA-D8-A27H-01	55	86	0	19
TCGA-D8-A27I-01	8	9	13	6
TCGA-D8-A27K-01	0	5	12	4
TCGA-D8-A27L-01	25	0	28	0
TCGA-D8-A27M-01	13	57	12	8
TCGA-D8-A27N-01	1	13	36	10
TCGA-D8-A27P-01	1	5	12	12
TCGA-D8-A27R-01	5	17	11	2
TCGA-D8-A27T-01	3	0	20	8
TCGA-D8-A27V-01	179	25	31	0
TCGA-D8-A27W-01	1	0	42	12
TCGA-D8-A3Z6-01	6	6	13	12
TCGA-D8-A4Z1-01	33	0	13	0
TCGA-D8-A73U-01	162	0	45	0
TCGA-D8-A73W-01	2	7	25	18
TCGA-D8-A73X-01	5	3	29	15
TCGA-E2-A105-01	8	18	26	15
TCGA-E2-A107-01	7	3	20	6
TCGA-E2-A108-01	131	36	0	19
TCGA-E2-A109-01	0	38	31	15
TCGA-E2-A10A-01	10	7	5	6
TCGA-E2-A10B-01	34	9	15	15
TCGA-E2-A10C-01	483	0	36	0
TCGA-E2-A10F-01	4	0	21	5
TCGA-E2-A14N-01	22	65	15	7
TCGA-E2-A14O-01	0	5	31	0
TCGA-E2-A14P-01	30	17	55	10
TCGA-E2-A14Q-01	4	10	22	4
TCGA-E2-A14R-01	17	89	9	28
TCGA-E2-A14T-01	8	5	18	12
TCGA-E2-A14V-01	60	25	44	12
TCGA-E2-A14W-01	13	69	12	8
TCGA-E2-A14X-01	4	0	28	5
TCGA-E2-A14Y-01	29	5	7	9
TCGA-E2-A14Z-01	34	31	30	0
TCGA-E2-A150-01	5	39	25	22
TCGA-E2-A152-01	127	14	30	0
TCGA-E2-A153-01	5	0	19	2
TCGA-E2-A154-01	0	22	34	2
TCGA-E2-A155-01	14	24	31	12
TCGA-E2-A156-01	6	7	8	4
TCGA-E2-A158-01	3	66	13	15
TCGA-E2-A159-01	150	25	11	15
TCGA-E2-A15A-01	4	30	19	9
TCGA-E2-A15C-01	0	9	29	12
TCGA-E2-A15D-01	0	3	16	15
TCGA-E2-A15E-01	4	11	11	14
TCGA-E2-A15F-01	0	8	16	4
TCGA-E2-A15G-01	6	26	37	4
TCGA-E2-A15H-01	0	5	20	8
TCGA-E2-A15I-01	2	10	31	0
TCGA-E2-A15J-01	0	7	9	6
TCGA-E2-A15K-01	1	17	28	7
TCGA-E2-A15L-01	2	5	20	7
TCGA-E2-A15M-01	31	27	35	15
TCGA-E2-A15O-01	0	11	20	3
TCGA-E2-A15P-01	1	5	14	8
TCGA-E2-A15R-01	3	6	38	0
TCGA-E2-A15S-01	12	30	7	19
TCGA-E2-A15T-01	1	8	25	6
TCGA-E2-A1AZ-01	30	25	15	9
TCGA-E2-A1B0-01	9	7	29	15
TCGA-E2-A1B1-01	36	8	22	0
TCGA-E2-A1B4-01	9	13	16	4
TCGA-E2-A1B5-01	23	0	20	3
TCGA-E2-A1B6-01	1	32	11	12
TCGA-E2-A1BC-01	1	19	10	11
TCGA-E2-A1BD-01	0	11	29	3
TCGA-E2-A1IE-01	0	13	12	5
TCGA-E2-A1IF-01	0	9	6	9
TCGA-E2-A1IG-01	9	14	34	0
TCGA-E2-A1IH-01	37	18	11	19
TCGA-E2-A1II-01	0	16	10	8
TCGA-E2-A1IJ-01	0	5	9	4
TCGA-E2-A1IK-01	2	4	9	2
TCGA-E2-A1IL-01	0	12	16	3
TCGA-E2-A1IN-01	192	22	7	27
TCGA-E2-A1IO-01	0	0	16	0
TCGA-E2-A1IU-01	7	8	16	0
TCGA-E2-A1L6-01	2	7	15	4
TCGA-E2-A1L7-01	4	54	12	11
TCGA-E2-A1L8-01	7	11	10	10
TCGA-E2-A1L9-01	2	8	12	6
TCGA-E2-A1LA-01	10	63	6	28
TCGA-E2-A1LB-01	28	10	11	6
TCGA-E2-A1LG-01	175	25	10	9
TCGA-E2-A1LH-01	60	136	4	31
TCGA-E2-A1LI-01	12	19	3	3
TCGA-E2-A1LK-01	0	0	44	10
TCGA-E2-A1LL-01	4	31	12	14
TCGA-E2-A2P6-01	127	0	59	0
TCGA-E2-A56Z-01	0	16	26	18
TCGA-E2-A570-01	0	11	18	1
TCGA-E2-A572-01	2	5	13	9
TCGA-E2-A573-01	5	31	15	21
TCGA-E2-A574-01	66	30	59	1
TCGA-E2-A576-01	0	21	42	7
TCGA-E2-A9RU-01	17	9	67	14
TCGA-E9-A1N3-01	3	16	2	10
TCGA-E9-A1N4-01	12	5	15	2
TCGA-E9-A1N5-01	16	7	0	16
TCGA-E9-A1N8-01	13	11	1	11
TCGA-E9-A1N9-01	7	26	23	10
