Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-ER-A3ET-06	16	9	14	17	37	1	11	6	0	5
TCGA-ER-A3EV-06	8	11	13	18	29	0	15	0	0	5
TCGA-ER-A3PL-06	227	259	0	0	0	21	4	0	8	0
TCGA-ER-A42H-01	2	3	11	28	20	10	1	0	1	2
TCGA-ER-A42K-06	90	124	0	0	0	36	4	1	18	0
TCGA-ER-A42L-06	768	405	0	0	0	99	14	7	8	0
TCGA-FR-A2OS-01	0	1	0	4	4	2	0	2	3	0
TCGA-FR-A3R1-01	242	276	0	0	0	0	0	0	71	0
TCGA-FR-A3YN-06	348	288	0	0	0	56	6	2	88	0
TCGA-FR-A3YO-06	575	383	0	0	0	90	13	0	128	0
TCGA-FR-A44A-06	172	170	5	0	0	40	5	2	26	0
TCGA-FR-A69P-06	134	103	0	0	0	34	1	0	33	0
TCGA-FR-A726-01	4218	4459	0	0	0	921	158	0	390	0
TCGA-FR-A728-01	241	190	0	0	0	74	9	0	26	0
TCGA-FR-A729-06	533	384	0	0	0	167	17	0	99	4
TCGA-FR-A7U8-06	1	6	0	20	11	0	4	0	2	0
TCGA-FR-A7U9-06	1203	761	0	0	0	297	32	0	187	0
TCGA-FR-A7UA-06	136	61	0	0	0	39	5	0	0	0
TCGA-FR-A8YC-06	1905	1349	0	0	0	513	51	0	282	0
TCGA-FR-A8YD-06	18	14	23	4	36	3	13	14	2	5
TCGA-FR-A8YE-06	221	153	0	0	0	61	6	4	25	1
TCGA-FS-A1YW-06	98	67	0	1	0	34	1	0	18	0
TCGA-FS-A1YX-06	4	10	8	4	0	0	1	0	3	0
TCGA-FS-A1YY-06	148	104	1	8	0	3	3	1	6	0
TCGA-FS-A1Z0-06	120	130	0	0	0	68	3	2	26	2
TCGA-FS-A1Z3-06	623	466	0	0	0	145	15	0	141	0
TCGA-FS-A1Z4-06	27	10	3	2	3	0	0	6	0	2
TCGA-FS-A1Z7-06	113	95	0	0	0	35	0	1	6	0
TCGA-FS-A1ZA-06	701	513	0	0	0	225	23	0	162	0
