Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-BH-A0BT-01	4	1	11	3	6	8	5	9	0	1
TCGA-BH-A0BV-01	2	0	2	10	0	0	0	3	7	0
TCGA-BH-A0BW-01	9	5	7	11	22	1	15	12	21	0
TCGA-BH-A0BZ-01	12	30	12	0	92	4	14	66	7	59
TCGA-BH-A0C0-01	3	0	5	8	15	3	12	0	0	2
TCGA-BH-A0C1-01	7	0	12	0	0	0	0	31	0	0
TCGA-BH-A0C3-01	0	0	1	0	0	2	4	0	11	0
TCGA-BH-A0C7-01	1	3	10	0	0	3	1	7	33	0
TCGA-BH-A0DD-01	4	3	15	0	1	6	5	3	0	0
TCGA-BH-A0DE-01	2	0	0	4	1	3	0	6	16	1
TCGA-BH-A0DG-01	4	8	0	0	0	15	6	7	1	6
TCGA-BH-A0DH-01	11	0	17	11	0	2	4	4	3	0
TCGA-BH-A0DI-01	9	8	13	15	8	0	2	0	0	7
TCGA-BH-A0DK-01	3	2	8	4	3	0	5	0	4	24
TCGA-BH-A0DL-01	13	4	19	5	4	0	7	10	0	3
TCGA-BH-A0DO-01	3	3	4	0	4	7	2	7	0	0
TCGA-BH-A0DP-01	4	0	1	0	8	3	1	1	1	0
TCGA-BH-A0DQ-01	1	2	9	0	0	0	2	16	2	3
TCGA-BH-A0DT-01	3	0	3	0	1	0	0	2	6	0
TCGA-BH-A0DV-01	3	0	0	1	2	0	0	6	3	0
TCGA-BH-A0DX-01	26	13	8	1	0	4	0	0	19	6
TCGA-BH-A0DZ-01	71	90	0	24	0	32	0	0	0	0
TCGA-BH-A0E0-01	0	1	10	0	5	5	1	0	2	0
TCGA-BH-A0E1-01	1	3	3	0	0	5	0	0	7	0
TCGA-BH-A0E9-01	1	0	12	4	6	0	2	3	0	0
TCGA-BH-A0EA-01	2	1	3	0	0	5	0	17	4	0
TCGA-BH-A0EI-01	1	0	6	0	1	2	4	4	3	3
TCGA-BH-A0H3-01	1	0	1	2	0	0	0	0	13	0
TCGA-BH-A0H5-01	57	50	0	25	0	32	0	0	0	5
TCGA-BH-A0H7-01	1	2	3	3	0	0	3	0	5	0
TCGA-BH-A0H9-01	3	0	1	3	7	1	3	0	5	0
TCGA-BH-A0HA-01	20	14	105	0	0	6	139	73	25	0
TCGA-BH-A0HI-01	5	1	7	0	0	3	1	0	9	9
TCGA-BH-A0HK-01	20	8	8	3	0	12	0	12	0	0
TCGA-BH-A0HN-01	3	1	10	0	4	9	0	0	7	0
TCGA-BH-A0HP-01	125	125	2	69	0	36	0	0	0	0
