Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-55-6975-01	1.05E+00	1.00E+00	4.95E-01	1.17E+00	8.28E-01	1.86E-01	5.25E-01	6.22E-01
TCGA-55-6978-01	0.00E+00	3.86E-01	0.00E+00	7.01E-01	5.59E-01	1.32E-01	4.25E-01	5.96E-01
TCGA-55-6979-01	2.06E+00	2.00E+00	8.65E-01	1.64E+00	1.27E+00	2.83E-01	2.26E-01	5.55E-01
TCGA-55-6980-01	0.00E+00	2.27E-01	4.19E-02	4.24E-01	3.97E-01	2.02E-01	2.90E-01	2.27E-01
TCGA-55-6981-01	2.45E-01	4.10E-01	3.89E-01	7.80E-01	7.28E-01	4.61E-01	5.78E-01	3.76E-01
TCGA-55-6982-01	8.01E-01	8.22E-01	3.68E+00	1.17E+00	7.50E-01	7.73E-01	7.19E-01	4.02E+00
TCGA-55-6983-01	1.53E+00	1.49E+00	3.45E-01	9.73E-01	9.60E-01	5.96E-01	6.34E-01	5.19E-01
TCGA-55-6984-01	2.35E-01	5.39E-01	8.15E-02	5.75E-01	3.83E-01	3.52E-01	3.10E-01	1.35E-01
TCGA-55-6985-01	6.30E+00	6.48E+00	6.31E-01	3.01E+00	2.04E+00	8.92E-01	7.55E-01	9.22E-01
TCGA-55-6986-01	1.89E-01	2.42E-01	1.11E-01	2.91E-01	2.88E-01	3.27E-01	4.29E-01	1.88E-01
TCGA-55-6987-01	2.09E+00	1.99E+00	1.39E+00	1.47E+00	1.13E+00	6.71E-01	5.66E-01	1.47E+00
TCGA-55-7227-01	1.55E+00	1.93E+00	5.30E-01	1.57E+00	1.30E+00	6.85E-01	6.97E-01	9.26E-01
TCGA-55-7281-01	4.47E+00	4.89E+00	9.13E-01	3.65E+00	2.11E+00	1.05E+00	7.95E-01	1.27E+00
TCGA-55-7283-01	1.96E+00	2.09E+00	1.27E+00	1.63E+00	1.36E+00	8.55E-01	1.11E+00	1.48E+00
TCGA-55-7284-01	1.02E-01	4.98E-01	1.79E-01	5.92E-01	5.28E-01	3.32E-01	5.33E-01	5.51E-01
TCGA-55-7570-01	3.33E+00	3.17E+00	1.48E+00	2.89E+00	2.35E+00	9.81E-01	5.58E-01	1.28E+00
TCGA-55-7573-01	8.77E-01	9.16E-01	3.95E-01	7.57E-01	6.20E-01	4.35E-01	2.70E-01	5.14E-01
TCGA-55-7574-01	2.02E+00	2.34E+00	2.11E+00	1.84E+00	1.17E+00	9.52E-01	4.73E-01	2.08E+00
TCGA-55-7576-01	3.39E+00	3.70E+00	8.97E-01	2.73E+00	2.39E+00	9.01E-01	9.79E-01	1.25E+00
