Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
TCGA-EE-A3JH-06	63	76	0	32	0	5	17	19	0	0	7	26	0	0
TCGA-EE-A3JI-06	455	489	0	190	4	7	32	84	8	0	37	96	134	0
TCGA-ER-A193-06	907	771	0	347	0	0	41	263	4	5	0	259	6	16
TCGA-ER-A194-01	653	698	0	234	6	0	15	171	4	4	20	61	0	0
TCGA-ER-A195-06	125	115	0	53	0	0	4	40	0	4	7	0	0	0
TCGA-ER-A196-01	0	3	0	1	2	7	0	3	0	3	6	0	0	0
TCGA-ER-A197-06	1	0	3	0	2	0	16	0	1	10	10	9	0	0
TCGA-ER-A198-06	195	237	0	76	7	2	24	54	2	0	0	55	0	0
TCGA-ER-A199-06	116	117	2	51	0	0	0	42	2	0	9	33	0	0
TCGA-ER-A19A-06	88	60	0	33	0	1	0	41	0	0	3	0	22	0
TCGA-ER-A19B-06	12	16	0	10	0	0	5	13	2	51	18	3	0	1
TCGA-ER-A19C-06	34	33	0	22	3	4	0	3	0	0	4	10	7	2
TCGA-ER-A19D-06	196	197	0	68	0	1	21	79	5	0	3	62	10	0
TCGA-ER-A19E-06	169	156	10	78	6	7	12	72	7	12	17	71	0	0
TCGA-ER-A19F-06	440	418	0	158	0	0	0	130	0	1	0	166	0	0
TCGA-ER-A19G-06	217	248	0	76	5	7	9	67	1	12	5	42	0	9
TCGA-ER-A19H-06	96	96	0	28	5	3	2	47	0	0	0	93	3	0
TCGA-ER-A19J-06	106	69	0	42	0	1	15	31	2	0	2	23	0	0
TCGA-ER-A19K-01	231	138	0	55	1	10	16	20	4	3	1	0	19	4
TCGA-ER-A19L-06	24	22	0	8	1	0	1	5	3	0	7	0	0	3
TCGA-ER-A19M-06	221	256	0	86	4	4	10	68	0	0	10	18	0	0
TCGA-ER-A19N-06	213	212	0	93	0	2	0	56	0	0	0	82	0	4
TCGA-ER-A19O-06	86	68	0	34	3	1	1	35	0	14	2	0	0	0
TCGA-ER-A19P-06	104	101	59	37	150	2	0	31	9	0	95	52	0	0
TCGA-ER-A19Q-06	42	53	0	17	0	4	2	33	0	0	8	4	0	0
TCGA-ER-A19S-06	99	77	8	33	0	5	10	9	2	17	6	6	0	3
TCGA-ER-A19T-01	4	11	0	2	5	8	7	0	4	1	18	0	7	3
TCGA-ER-A19W-06	137	157	6	76	0	20	0	39	4	17	21	0	11	0
TCGA-ER-A1A1-06	32	26	0	3	0	0	1	0	0	0	0	5	27	0
TCGA-ER-A2NB-01	3	10	6	0	10	8	12	6	3	7	15	0	0	5
TCGA-ER-A2NC-06	189	167	0	62	5	0	7	49	7	0	0	66	0	0
