Samples	SBS96A	SBS96B
TCGA-91-8496-01	21	20
TCGA-91-8497-01	33	23
TCGA-91-8499-01	220	175
TCGA-91-A4BC-01	510	53
TCGA-91-A4BD-01	12	15
TCGA-93-7347-01	119	24
TCGA-93-7348-01	88	45
TCGA-93-8067-01	27	647
TCGA-93-A4JN-01	54	44
TCGA-93-A4JO-01	28	37
TCGA-93-A4JP-01	30	52
TCGA-93-A4JQ-01	35	110
TCGA-95-7039-01	1386	156
TCGA-95-7043-01	1202	117
TCGA-95-7562-01	441	20
TCGA-95-7567-01	918	225
TCGA-95-7944-01	1	306
TCGA-95-7947-01	290	375
TCGA-95-7948-01	0	183
TCGA-95-8039-01	65	53
TCGA-95-8494-01	17	116
TCGA-95-A4VK-01	284	34
TCGA-95-A4VN-01	524	67
TCGA-95-A4VP-01	143	18
TCGA-97-7546-01	319	33
TCGA-97-7547-01	130	96
TCGA-97-7552-01	30	17
TCGA-97-7553-01	36	15
TCGA-97-7554-01	496	63
TCGA-97-7937-01	503	61
TCGA-97-7938-01	422	83
TCGA-97-7941-01	86	35
TCGA-97-8171-01	44	23
TCGA-97-8172-01	294	37
TCGA-97-8174-01	157	56
TCGA-97-8175-01	26	15
TCGA-97-8176-01	97	100
TCGA-97-8177-01	21	26
TCGA-97-8179-01	185	23
TCGA-97-8547-01	26	44
TCGA-97-8552-01	18	11
TCGA-97-A4LX-01	204	15
TCGA-97-A4M0-01	382	118
TCGA-97-A4M1-01	25	30
TCGA-97-A4M2-01	14	18
TCGA-97-A4M3-01	204	46
TCGA-97-A4M5-01	6	184
TCGA-97-A4M6-01	20	22
TCGA-97-A4M7-01	357	27
TCGA-99-7458-01	522	55
TCGA-99-8025-01	347	252
TCGA-99-8028-01	526	16
TCGA-99-8032-01	427	65
TCGA-99-8033-01	186	37
TCGA-99-AA5R-01	69	4
TCGA-J2-8192-01	48	42
TCGA-J2-8194-01	149	41
TCGA-J2-A4AD-01	170	247
TCGA-J2-A4AE-01	25	37
TCGA-J2-A4AG-01	91	23
TCGA-L4-A4E5-01	387	32
TCGA-L4-A4E6-01	13	7
TCGA-L9-A443-01	274	33
TCGA-L9-A444-01	656	45
TCGA-L9-A50W-01	16	20
TCGA-L9-A5IP-01	314	38
TCGA-L9-A743-01	79	89
TCGA-L9-A7SV-01	1968	51
TCGA-L9-A8F4-01	842	129
TCGA-MN-A4N1-01	510	78
TCGA-MN-A4N4-01	1327	545
TCGA-MN-A4N5-01	481	81
TCGA-MP-A4SV-01	213	227
