Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-BH-A1EV-01	44	45	5	30	5
TCGA-BH-A1EW-01	10	0	4	4	3
TCGA-BH-A1EX-01	3	0	10	16	6
TCGA-BH-A1EY-01	6	15	9	17	8
TCGA-BH-A1F0-01	1	22	48	22	2
TCGA-BH-A1F2-01	14	10	12	29	6
TCGA-BH-A1F5-01	10	0	13	21	0
TCGA-BH-A1F6-01	4	5	15	18	11
TCGA-BH-A1F8-01	112	64	0	14	2
TCGA-BH-A1FC-01	19	28	34	29	20
TCGA-BH-A1FE-01	9	1	10	5	1
TCGA-BH-A1FG-01	0	1	4	10	6
TCGA-BH-A1FH-01	7	1	7	17	1
TCGA-BH-A1FJ-01	7	0	12	26	0
TCGA-BH-A1FL-01	6	0	3	12	5
TCGA-BH-A1FM-01	17	12	4	29	0
TCGA-BH-A1FN-01	35	58	40	3	10
TCGA-BH-A1FR-01	0	1	6	7	3
TCGA-BH-A1FU-01	9	19	43	15	32
TCGA-BH-A201-01	7	0	7	2	11
TCGA-BH-A202-01	4	0	11	9	4
TCGA-BH-A203-01	17	17	3	53	9
TCGA-BH-A204-01	4	5	21	16	6
TCGA-BH-A208-01	22	29	10	21	0
TCGA-BH-A209-01	37	75	0	7	0
TCGA-BH-A28Q-01	1	2	3	16	4
TCGA-BH-A2L8-01	317	311	0	0	0
TCGA-BH-A42U-01	22	5	0	5	0
TCGA-BH-A42V-01	30	19	0	6	0
TCGA-BH-A5IZ-01	12	6	49	19	10
TCGA-BH-A5J0-01	63	17	0	16	6
TCGA-BH-A6R8-01	6	3	4	19	5
TCGA-BH-A6R9-01	2	0	14	9	0
TCGA-BH-A8FY-01	7	5	28	8	8
TCGA-BH-A8FZ-01	12	7	37	11	24
TCGA-BH-A8G0-01	2	0	0	10	5
TCGA-BH-AB28-01	10	0	2	17	14
TCGA-C8-A12K-01	3	60	81	10	19
TCGA-C8-A12L-01	3	5	55	19	7
TCGA-C8-A12M-01	3	2	26	38	13
TCGA-C8-A12N-01	0	4	5	12	6
TCGA-C8-A12O-01	5	1	8	35	0
TCGA-C8-A12P-01	74	76	8	30	14
TCGA-C8-A12Q-01	64	51	0	14	10
TCGA-C8-A12T-01	81	117	0	13	3
TCGA-C8-A12U-01	2	8	19	31	1
TCGA-C8-A12V-01	3	4	24	5	16
TCGA-C8-A12W-01	0	5	10	59	3
TCGA-C8-A12X-01	1	2	16	38	8
TCGA-C8-A12Y-01	1	2	0	21	22
TCGA-C8-A12Z-01	14	15	5	22	5
TCGA-C8-A130-01	3	6	0	38	7
TCGA-C8-A131-01	20	0	24	19	11
TCGA-C8-A132-01	6	31	25	16	6
TCGA-C8-A133-01	11	0	15	1	6
TCGA-C8-A134-01	0	7	86	10	14
TCGA-C8-A135-01	1	9	9	41	17
TCGA-C8-A137-01	20	21	0	21	0
TCGA-C8-A138-01	2	0	24	22	4
TCGA-C8-A1HE-01	30	13	0	8	3
TCGA-C8-A1HF-01	13	8	4	8	6
TCGA-C8-A1HG-01	7	4	13	34	11
TCGA-C8-A1HI-01	10	12	15	26	9
TCGA-C8-A1HJ-01	0	13	77	9	25
TCGA-C8-A1HK-01	1	31	16	17	8
TCGA-C8-A1HL-01	1	0	15	12	9
TCGA-C8-A1HM-01	108	286	18	31	5
TCGA-C8-A1HN-01	7	1	24	31	7
TCGA-C8-A1HO-01	14	6	13	11	5
TCGA-C8-A26V-01	20	43	6	18	9
TCGA-C8-A26W-01	29	18	3	13	6
TCGA-C8-A26X-01	6	3	31	31	4
TCGA-C8-A26Y-01	427	471	0	0	18
TCGA-C8-A26Z-01	3	0	19	27	0
TCGA-C8-A273-01	0	1	10	12	1
TCGA-C8-A274-01	146	112	0	3	20
TCGA-C8-A275-01	43	77	1	19	2
TCGA-C8-A278-01	11	10	11	18	3
TCGA-C8-A27A-01	11	4	12	13	0
TCGA-C8-A27B-01	0	77	65	6	14
TCGA-C8-A3M7-01	147	49	0	25	0
TCGA-C8-A3M8-01	3	12	15	17	15
TCGA-C8-A8HP-01	125	130	0	18	0
TCGA-C8-A8HQ-01	181	165	0	26	0
TCGA-C8-A8HR-01	4	3	22	18	13
TCGA-C8-A9FZ-01	0	4	3	16	6
TCGA-D8-A13Y-01	20	13	20	14	15
TCGA-D8-A13Z-01	0	16	53	33	1
TCGA-D8-A140-01	47	5	22	35	25
TCGA-D8-A141-01	0	0	9	12	0
TCGA-D8-A142-01	0	17	73	68	8
TCGA-D8-A143-01	2	1	34	21	3
TCGA-D8-A145-01	0	4	12	20	11
TCGA-D8-A146-01	13	0	0	16	12
TCGA-D8-A147-01	15	55	104	9	17
TCGA-D8-A1J8-01	333	345	0	100	183
TCGA-D8-A1J9-01	136	136	0	6	0
TCGA-D8-A1JB-01	7	4	35	9	8
TCGA-D8-A1JC-01	50	46	2	23	1
TCGA-D8-A1JD-01	13	17	63	10	19
TCGA-D8-A1JE-01	2	2	13	13	10
TCGA-D8-A1JF-01	4	4	9	16	16
TCGA-D8-A1JG-01	22	10	74	59	4
TCGA-D8-A1JH-01	4	0	7	6	7
TCGA-D8-A1JI-01	8	0	13	9	12
TCGA-D8-A1JJ-01	45	24	0	19	10
TCGA-D8-A1JK-01	42	10	128	11	58
TCGA-D8-A1JL-01	4	12	75	10	26
TCGA-D8-A1JM-01	3	2	25	23	0
TCGA-D8-A1JN-01	127	61	0	20	0
TCGA-D8-A1JP-01	8	12	93	0	22
TCGA-D8-A1JS-01	6	0	9	9	5
TCGA-D8-A1JT-01	0	0	19	19	3
TCGA-D8-A1JU-01	2	0	4	8	6
TCGA-D8-A1X5-01	5	6	19	23	13
TCGA-D8-A1X6-01	4	0	11	21	6
TCGA-D8-A1X7-01	6	1	12	12	1
TCGA-D8-A1X9-01	0	10	63	4	25
TCGA-D8-A1XA-01	4	0	7	11	6
TCGA-D8-A1XB-01	12	3	1	23	11
TCGA-D8-A1XC-01	4	0	9	15	6
TCGA-D8-A1XF-01	5	3	9	31	3
TCGA-D8-A1XG-01	4	0	9	1	13
TCGA-D8-A1XK-01	8	11	94	0	1187
TCGA-D8-A1XL-01	8	6	63	11	22
TCGA-D8-A1XM-01	33	8	0	23	0
TCGA-D8-A1XO-01	7	7	5	7	3
TCGA-D8-A1XQ-01	24	33	199	194	581
TCGA-D8-A1XR-01	6	0	0	9	17
TCGA-D8-A1XS-01	10	2	2	12	0
TCGA-D8-A1XT-01	6	3	13	20	3
TCGA-D8-A1XU-01	17	4	5	6	3
TCGA-D8-A1XV-01	0	5	8	21	2
TCGA-D8-A1XW-01	9	12	67	16	18
TCGA-D8-A1XY-01	11	2	5	34	7
TCGA-D8-A1XZ-01	0	12	19	59	6
TCGA-D8-A1Y0-01	5	13	40	12	11
TCGA-D8-A1Y1-01	12	6	0	178	37
TCGA-D8-A1Y2-01	9	4	0	8	1
TCGA-D8-A1Y3-01	0	1	15	47	4
TCGA-D8-A27E-01	2	0	6	3	0
TCGA-D8-A27F-01	0	13	43	5	9
TCGA-D8-A27G-01	602	574	0	0	0
TCGA-D8-A27H-01	0	58	79	10	13
TCGA-D8-A27I-01	6	5	7	14	4
TCGA-D8-A27K-01	0	2	5	12	2
TCGA-D8-A27L-01	30	8	0	15	0
TCGA-D8-A27M-01	1	14	55	15	5
TCGA-D8-A27N-01	5	2	13	33	7
TCGA-D8-A27P-01	4	0	6	10	10
TCGA-D8-A27R-01	3	4	18	9	1
TCGA-D8-A27T-01	8	0	0	17	6
TCGA-D8-A27V-01	95	121	0	19	0
TCGA-D8-A27W-01	0	5	1	42	7
TCGA-D8-A3Z6-01	8	3	4	11	11
TCGA-D8-A4Z1-01	33	9	0	4	0
TCGA-D8-A73U-01	147	51	0	2	7
TCGA-D8-A73W-01	1	3	7	29	12
TCGA-D8-A73X-01	12	0	2	25	13
TCGA-E2-A105-01	11	3	18	23	12
TCGA-E2-A107-01	13	1	2	13	7
TCGA-E2-A108-01	63	97	10	0	16
TCGA-E2-A109-01	6	0	38	26	14
TCGA-E2-A10A-01	9	4	6	3	6
TCGA-E2-A10B-01	27	18	3	10	15
TCGA-E2-A10C-01	298	221	0	0	0
TCGA-E2-A10F-01	6	2	0	19	3
TCGA-E2-A14N-01	9	19	61	15	5
TCGA-E2-A14O-01	5	0	6	25	0
TCGA-E2-A14P-01	37	12	12	39	12
TCGA-E2-A14Q-01	6	3	8	20	3
TCGA-E2-A14R-01	0	19	85	15	24
TCGA-E2-A14T-01	5	7	3	18	10
TCGA-E2-A14V-01	27	51	14	43	6
TCGA-E2-A14W-01	1	14	67	13	7
TCGA-E2-A14X-01	7	3	0	25	2
TCGA-E2-A14Y-01	17	20	0	7	6
TCGA-E2-A14Z-01	40	11	27	17	0
TCGA-E2-A150-01	5	5	37	26	18
TCGA-E2-A152-01	75	79	0	17	0
TCGA-E2-A153-01	9	1	0	15	1
TCGA-E2-A154-01	2	2	23	31	0
TCGA-E2-A155-01	19	6	20	24	12
TCGA-E2-A156-01	8	2	5	6	4
TCGA-E2-A158-01	0	6	65	15	11
TCGA-E2-A159-01	72	108	2	13	6
TCGA-E2-A15A-01	5	3	28	18	8
TCGA-E2-A15C-01	2	1	11	28	8
TCGA-E2-A15D-01	0	1	3	18	12
TCGA-E2-A15E-01	0	6	9	14	11
TCGA-E2-A15F-01	0	1	8	16	3
TCGA-E2-A15G-01	18	0	23	25	7
TCGA-E2-A15H-01	0	1	7	19	6
TCGA-E2-A15I-01	9	0	10	24	0
TCGA-E2-A15J-01	1	0	8	8	5
