Samples	SBS96A	SBS96B	SBS96C
TCGA-FR-A728-01	515	25	0
TCGA-FR-A729-06	1193	5	6
TCGA-FR-A7U8-06	4	8	32
TCGA-FR-A7U9-06	2452	0	28
TCGA-FR-A7UA-06	239	2	0
TCGA-FR-A8YC-06	4012	47	41
TCGA-FR-A8YD-06	38	72	22
TCGA-FR-A8YE-06	459	12	0
TCGA-FS-A1YW-06	196	0	23
TCGA-FS-A1YX-06	11	11	8
TCGA-FS-A1YY-06	257	0	17
TCGA-FS-A1Z0-06	297	23	31
TCGA-FS-A1Z3-06	1359	1	30
TCGA-FS-A1Z4-06	48	0	5
TCGA-FS-A1Z7-06	233	0	17
TCGA-FS-A1ZA-06	1540	36	48
TCGA-FS-A1ZB-06	311	0	5
TCGA-FS-A1ZC-06	963	0	15
TCGA-FS-A1ZD-06	314	5	22
TCGA-FS-A1ZE-06	149	20	21
TCGA-FS-A1ZF-06	234	13	32
TCGA-FS-A1ZG-06	0	14	31
TCGA-FS-A1ZH-06	14	10	20
TCGA-FS-A1ZJ-06	18	25	40
TCGA-FS-A1ZK-06	2182	3	27
TCGA-FS-A1ZM-06	290	18	23
TCGA-FS-A1ZN-01	124	1	12
TCGA-FS-A1ZP-06	539	14	27
TCGA-FS-A1ZQ-06	681	0	2
TCGA-FS-A1ZR-06	179	0	8
TCGA-FS-A1ZS-06	334	13	37
TCGA-FS-A1ZT-06	230	0	12
TCGA-FS-A1ZU-06	12	5	35
TCGA-FS-A1ZW-06	828	31	49
TCGA-FS-A1ZY-06	12	13	17
TCGA-FS-A1ZZ-06	2141	0	6
TCGA-FS-A4F0-06	731	11	28
TCGA-FS-A4F4-06	18	21	17
TCGA-FS-A4F5-06	1017	0	8
TCGA-FS-A4F8-06	213	0	22
TCGA-FS-A4F9-06	581	0	9
TCGA-FS-A4FB-06	225	10	15
TCGA-FS-A4FC-06	980	0	19
TCGA-FS-A4FD-06	599	8	1
TCGA-FW-A3I3-06	9	16	48
TCGA-FW-A3R5-06	25753	533	1183
TCGA-FW-A3TU-06	947	53	80
TCGA-FW-A3TV-06	409	26	23
TCGA-FW-A5DX-01	235	10	22
TCGA-FW-A5DY-06	234	0	7
