Samples	SBS96A	SBS96B
TCGA-HU-A4GT-01	1.55E+00	1.55E+00
TCGA-HU-A4GU-01	1.95E+00	1.95E+00
TCGA-HU-A4GX-01	8.08E-01	8.08E-01
TCGA-HU-A4GY-01	6.03E-01	6.03E-01
TCGA-HU-A4H0-01	1.05E+00	1.05E+00
TCGA-HU-A4H2-01	1.19E+00	1.19E+00
TCGA-HU-A4H3-01	1.43E+00	1.43E+00
TCGA-HU-A4H4-01	1.78E+00	1.78E+00
TCGA-HU-A4H5-01	1.37E+00	1.37E+00
TCGA-HU-A4H6-01	9.54E-01	9.53E-01
TCGA-HU-A4H8-01	1.35E+00	1.35E+00
TCGA-HU-A4HB-01	2.53E-01	2.53E-01
TCGA-HU-A4HD-01	1.09E+00	1.09E+00
TCGA-IN-7806-01	7.50E-01	7.49E-01
TCGA-IN-7808-01	9.13E-01	9.13E-01
TCGA-IN-8462-01	9.59E-01	9.59E-01
TCGA-IN-8663-01	1.13E+00	1.13E+00
TCGA-IN-A6RI-01	8.34E-01	8.34E-01
TCGA-IN-A6RJ-01	8.70E-01	8.70E-01
TCGA-IN-A6RL-01	1.83E+00	1.83E+00
TCGA-IN-A6RN-01	8.02E-01	8.02E-01
TCGA-IN-A6RO-01	1.48E+00	1.48E+00
TCGA-IN-A6RP-01	1.07E+00	1.07E+00
TCGA-IN-A6RR-01	1.07E+00	1.07E+00
TCGA-IN-A6RS-01	8.99E-01	8.99E-01
TCGA-IN-A7NR-01	7.59E-01	7.60E-01
TCGA-IN-A7NT-01	8.25E-01	8.25E-01
TCGA-IN-A7NU-01	8.63E-01	8.63E-01
TCGA-IN-AB1V-01	6.83E-01	6.82E-01
TCGA-IN-AB1X-01	9.62E-01	9.62E-01
TCGA-IP-7968-01	7.95E-01	7.95E-01
TCGA-KB-A6F5-01	6.78E-01	6.78E-01
TCGA-KB-A6F7-01	7.73E-01	7.73E-01
TCGA-KB-A93G-01	8.14E-01	8.14E-01
TCGA-KB-A93H-01	1.21E+00	1.21E+00
TCGA-KB-A93J-01	5.34E-01	5.34E-01
TCGA-MX-A5UG-01	5.80E-01	5.81E-01
TCGA-MX-A5UJ-01	1.45E+00	1.45E+00
TCGA-MX-A663-01	7.10E-01	7.10E-01
TCGA-MX-A666-01	8.72E-01	8.72E-01
TCGA-R5-A7O7-01	8.95E-01	8.95E-01
TCGA-R5-A7ZE-01	1.07E+00	1.07E+00
TCGA-R5-A7ZF-01	7.11E-01	7.11E-01
TCGA-R5-A7ZI-01	1.43E+00	1.43E+00
TCGA-R5-A7ZR-01	6.68E-01	6.68E-01
TCGA-R5-A804-01	7.12E-01	7.12E-01
TCGA-R5-A805-01	7.01E-01	7.01E-01
TCGA-RD-A7BS-01	6.16E-01	6.16E-01
TCGA-RD-A7BT-01	8.32E-01	8.32E-01
TCGA-RD-A7BW-01	7.05E-01	7.05E-01
TCGA-RD-A7C1-01	1.41E+00	1.41E+00
TCGA-RD-A8MV-01	7.07E-01	7.06E-01
TCGA-RD-A8MW-01	5.59E-01	5.59E-01
TCGA-RD-A8N0-01	6.56E-02	6.56E-02
TCGA-RD-A8N1-01	7.41E-01	7.42E-01
TCGA-RD-A8N2-01	7.10E-02	7.10E-02
TCGA-RD-A8N4-01	2.12E-01	2.12E-01
TCGA-RD-A8N5-01	4.97E-01	4.97E-01
TCGA-RD-A8N6-01	1.18E+00	1.18E+00
TCGA-RD-A8N9-01	9.83E-01	9.83E-01
TCGA-RD-A8NB-01	1.31E+00	1.31E+00
TCGA-SW-A7EA-01	1.54E+00	1.54E+00
TCGA-SW-A7EB-01	9.14E-01	9.14E-01
TCGA-VQ-A8DL-01	5.93E-01	5.93E-01
TCGA-VQ-A8DT-01	1.14E+00	1.14E+00
TCGA-VQ-A8DU-01	8.33E-01	8.33E-01
TCGA-VQ-A8DV-01	7.17E-01	7.17E-01
TCGA-VQ-A8DZ-01	7.65E-01	7.65E-01
TCGA-VQ-A8E0-01	7.41E-01	7.41E-01
TCGA-VQ-A8E2-01	8.37E-01	8.39E-01
TCGA-VQ-A8E3-01	1.56E+00	1.56E+00
TCGA-VQ-A8E7-01	8.89E-01	8.89E-01
TCGA-VQ-A8P2-01	8.45E+00	8.45E+00
TCGA-VQ-A8P3-01	9.70E-01	9.70E-01
TCGA-VQ-A8P5-01	1.09E+00	1.09E+00
TCGA-VQ-A8P8-01	7.97E-01	7.97E-01
TCGA-VQ-A8PB-01	1.05E+00	1.05E+00
TCGA-VQ-A8PC-01	8.68E-01	8.68E-01
TCGA-VQ-A8PD-01	7.30E-01	7.30E-01
TCGA-VQ-A8PE-01	9.26E-01	9.26E-01
TCGA-VQ-A8PF-01	8.91E-01	8.91E-01
TCGA-VQ-A8PH-01	8.88E-01	8.87E-01
TCGA-VQ-A8PJ-01	9.07E-01	9.07E-01
TCGA-VQ-A8PK-01	5.84E-01	5.84E-01
TCGA-VQ-A8PM-01	5.45E-01	5.46E-01
TCGA-VQ-A8PO-01	1.53E+00	1.53E+00
TCGA-VQ-A8PP-01	1.73E+00	1.73E+00
TCGA-VQ-A8PQ-01	3.21E-01	3.22E-01
TCGA-VQ-A8PS-01	5.36E-01	5.36E-01
TCGA-VQ-A8PT-01	1.80E+00	1.80E+00
TCGA-VQ-A8PU-01	7.78E-01	7.79E-01
TCGA-VQ-A8PX-01	1.52E+00	1.52E+00
TCGA-VQ-A8PY-01	6.67E-01	6.67E-01
TCGA-VQ-A8PZ-01	6.77E-01	6.77E-01
TCGA-VQ-A91A-01	9.59E-01	9.59E-01
TCGA-VQ-A91D-01	1.98E+00	1.98E+00
TCGA-VQ-A91E-01	1.53E+00	1.53E+00
TCGA-VQ-A91K-01	2.09E+00	2.09E+00
TCGA-VQ-A91N-01	8.76E-01	8.76E-01
TCGA-VQ-A91Q-01	8.10E-01	8.11E-01
TCGA-VQ-A91S-01	7.81E-01	7.81E-01
TCGA-VQ-A91U-01	1.04E+00	1.04E+00
TCGA-VQ-A91V-01	9.38E-01	9.38E-01
TCGA-VQ-A91W-01	5.24E-01	5.24E-01
TCGA-VQ-A91X-01	1.18E+00	1.18E+00
TCGA-VQ-A91Y-01	5.20E-01	5.20E-01
TCGA-VQ-A91Z-01	9.14E-01	9.14E-01
TCGA-VQ-A922-01	1.03E+00	1.03E+00
TCGA-VQ-A923-01	8.98E-01	8.97E-01
TCGA-VQ-A924-01	1.60E+00	1.60E+00
TCGA-VQ-A925-01	8.14E-01	8.14E-01
TCGA-VQ-A927-01	6.69E-01	6.70E-01
TCGA-VQ-A928-01	6.75E-01	6.75E-01
TCGA-VQ-A92D-01	8.67E-01	8.67E-01
TCGA-VQ-A94O-01	5.70E-01	5.70E-01
