Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-BH-A1EO-01	0	8	29	0	10	0	3	0
TCGA-BH-A1ET-01	0	1	9	0	5	6	10	2
TCGA-BH-A1EU-01	1	1	3	4	0	6	0	19
TCGA-BH-A1EV-01	34	29	15	35	10	6	0	0
TCGA-BH-A1EW-01	0	2	0	14	2	3	0	0
TCGA-BH-A1EX-01	0	0	7	15	7	6	0	0
TCGA-BH-A1EY-01	11	4	9	15	8	8	0	0
TCGA-BH-A1F0-01	18	0	3	30	11	4	17	12
TCGA-BH-A1F2-01	7	11	25	2	1	3	22	0
TCGA-BH-A1F5-01	0	4	9	8	3	0	1	19
TCGA-BH-A1F6-01	4	4	16	1	18	6	0	4
TCGA-BH-A1F8-01	48	81	15	12	0	0	29	7
TCGA-BH-A1FC-01	22	17	23	6	22	14	22	4
TCGA-BH-A1FE-01	0	4	3	5	0	1	12	1
TCGA-BH-A1FG-01	1	0	7	3	3	4	0	3
TCGA-BH-A1FH-01	1	3	11	6	3	0	0	9
TCGA-BH-A1FJ-01	0	3	12	2	0	0	0	28
TCGA-BH-A1FL-01	0	2	7	8	0	4	3	2
TCGA-BH-A1FM-01	9	11	17	17	7	1	0	0
TCGA-BH-A1FN-01	43	36	3	0	18	5	22	19
TCGA-BH-A1FR-01	1	0	4	3	7	2	0	0
TCGA-BH-A1FU-01	16	3	7	25	22	27	12	6
TCGA-BH-A201-01	0	2	1	6	0	10	8	0
TCGA-BH-A202-01	0	3	8	0	5	3	9	0
TCGA-BH-A203-01	12	13	36	17	3	6	0	12
TCGA-BH-A204-01	4	2	9	9	2	4	13	9
TCGA-BH-A208-01	21	17	9	9	4	0	0	22
TCGA-BH-A209-01	58	34	0	27	0	0	0	0
TCGA-BH-A28Q-01	2	2	13	0	4	1	0	4
TCGA-BH-A2L8-01	281	315	5	27	0	0	0	0
TCGA-BH-A42U-01	4	11	0	12	0	0	0	5
TCGA-BH-A42V-01	16	25	6	4	0	0	0	4
TCGA-BH-A5IZ-01	5	7	14	2	18	5	32	13
TCGA-BH-A5J0-01	13	39	12	27	0	7	4	0
TCGA-BH-A6R8-01	2	2	14	11	5	3	0	0
TCGA-BH-A6R9-01	0	0	4	8	11	0	2	0
TCGA-BH-A8FY-01	5	2	3	11	13	5	10	7
TCGA-BH-A8FZ-01	5	9	13	0	28	17	19	0
TCGA-BH-A8G0-01	0	0	6	7	0	4	0	0
TCGA-BH-AB28-01	0	6	17	1	4	9	6	0
TCGA-C8-A12K-01	49	14	9	4	59	14	14	10
TCGA-C8-A12L-01	5	3	9	1	31	0	3	37
TCGA-C8-A12M-01	2	0	20	27	17	10	0	6
TCGA-C8-A12N-01	3	1	11	0	2	4	6	0
TCGA-C8-A12O-01	1	2	21	11	2	0	0	12
TCGA-C8-A12P-01	57	54	20	32	12	11	16	0
TCGA-C8-A12Q-01	37	39	2	39	0	10	12	0
TCGA-C8-A12T-01	94	76	12	9	0	0	5	18
TCGA-C8-A12U-01	6	5	19	0	10	0	0	21
TCGA-C8-A12V-01	4	2	2	3	13	9	0	19
TCGA-C8-A12W-01	4	1	40	9	8	2	0	13
TCGA-C8-A12X-01	2	0	24	13	5	6	7	8
TCGA-C8-A12Y-01	1	2	22	0	0	15	6	0
TCGA-C8-A12Z-01	12	9	13	14	4	4	0	5
TCGA-C8-A130-01	5	3	26	10	0	7	0	3
