Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-RP-A6K9-06	0	0	5	0	13	26	24	0
TCGA-W3-A824-06	673	435	467	196	158	15	87	0
TCGA-W3-A825-06	843	297	204	129	0	29	31	21
TCGA-W3-A828-06	116	370	821	450	28	3	28	35
TCGA-W3-AA1O-06	406	307	226	80	18	0	4	7
TCGA-W3-AA1Q-06	634	477	68	0	89	0	1	0
TCGA-W3-AA1R-06	1226	555	401	82	15	59	36	17
TCGA-W3-AA1V-06	3252	871	1575	1659	0	0	72	60
TCGA-W3-AA1W-06	453	247	99	89	54	0	14	3
TCGA-W3-AA21-06	355	218	45	5	70	0	10	0
TCGA-WE-A8JZ-06	34	52	60	105	0	0	30	0
TCGA-WE-A8K1-06	261	91	22	0	45	28	10	3
TCGA-WE-A8K4-01	442	309	249	69	0	74	6	10
TCGA-WE-A8K5-06	883	341	261	22	79	0	3	1
TCGA-WE-A8K6-06	155	72	100	6	0	21	12	0
TCGA-WE-A8ZM-06	15	28	0	4	21	20	7	8
TCGA-WE-A8ZN-06	83	32	59	34	0	11	6	0
TCGA-WE-A8ZO-06	229	176	37	0	8	31	6	0
TCGA-WE-A8ZQ-06	78	40	54	0	31	0	40	7
TCGA-WE-A8ZR-06	10	0	0	2	18	0	6	0
